name,age,country,gender,boat,club,,,http://ckc.immediac.com/athletes
Abigail Van Dermerwe,2002,CND,F,,,,,
Adam Baird,2001,CND,M,,,,,
Adam Johnson,2000,CND,M,,,,,
Adam Richard,2000,CND,M,,,,,
Adriana Osende,2001,CND,F,,,,,
Aidan Dumont,2001,CND,M,,,,,
Aiden Tabata,2000,CND,M,,,,,
Aiden Winsor,2001,CND,M,,,,,
Ailish McNulty,1995,CND,,,,,,
Alanna Bray-Lougheed,1993,CND,F,,,,,
Alec Myles,1999,CND,M,,,,,
Alec Sibthorpe,2001,CND,M,,,,,
Alek Bellemare,2000,CND,M,,,,,
Alessandro Busa,2001,CND,M,,,,,
Alex Brent,1997,CND,M,,,,,
Alex Canning,2000,CND,M,K,Banook,,,
Alexa Irvin,1992,CND,F,,,,,
Alexander Demishkevich,1999,CND,M,,,,,
Alexander Hoferek,2000,CND,M,,,,,
Alexander Mallett,2001,CND,M,,,,,
Alexander Scott,1995,CND,M,,,,,
Alexandre Martin,2000,CND,M,,,,,
Alexanne Morin,2000,CND,,,,,,
Alexis Dallaire,2000,CND,,,,,,
Alexis Gélinas,2000,CND,,,,,,
Alexis Savard-Drouin,2000,CND,,,,,,
Alexis St-Jean,1999,CND,,,,,,
Alix Plomteux,2000,CND,,,,,,
Allie Wang,2002,CND,F,,,,,
Allison Geldart,2000,CND,F,,,,,
Amelia Stephenson,2001,CND,F,,,,,
Amy Auclair,2000,CND,F,,,,,
Andréanne Langlois,1993,CND,F,,,,,
Andrew Billard,2002,CND,M,,,,,
Andrew Jessop,1990,CND,M,,,,,
Andrik Terauds,1998,CND,,,,,,
Angelina Davidson,2002,CND,F,,,,,
Anna Negulic,1998,CND,F,,,,,
Anna O'Brien,2002,CND,F,,,,,
Anna Roy-Cyr,1998,CND,F,,,,,
Annabelle Gadoury,2002,CND,F,,,,,
Annah-Bénédicte Mbongo,2001,CND,F,,,,,
Anne-Catherine Lavallee-Latour,1999,CND,F,,,,,
Anne-Sophie Caumartin,2000,CND,F,,,,,
Anne-Sophie Lavoie-Parent,1998,CND,F,,,,,
Anya Chuprys,2000,CND,F,,,,,
Ariane Dessureault,2000,CND,F,,,,,
Arnaud Dallaire,2002,CND,,,,,,
Ashley Audas,2002,CND,F,,,,,
Ashley Card,1999,CND,,,,,,
Audrey de Varennes,1999,CND,F,,,,,
August Sibthorpe,1997,CND,,,,,,
Ava Carew,2003,CND,F,,,,,
Béatrice Lafontaine,2000,CND,F,,,,,
Ben Tardioli,1990,CND,M,,,,,
Benjamin Sprang,2001,CND,M,,,,,
Brady Beaver,2000,CND,M,,,,,
Brady Garcia,1997,CND,M,,,,,
Bret Himmelman,1998,CND,M,,,,,
Brian Malfesi,1993,CND,M,,,,,
Brooke Barich,2001,CND,,,,,,
Brooke Westwater,2002,CND,,,,,,
Brooklyn Wodehouse,2000,CND,F,K,Balmy Beach,,,
Bryan Davey,1999,CND,M,,,,,
Caleb Gray,2000,CND,M,,,,,
Camden Pero,2000,CND,M,,,,,
Cameron Ledrew,2000,CND,M,,,,,
Cameron Low,2001,CND,M,K,Balmy Beach,,,
Carolyn Spina-Grzywacz,2002,CND,F,,,,,
Carys McMurray,2002,CND,F,K,Banook,,,
Charles Croteau,1999,CND,M,,,,,
Charles-Antoine Girouard,1994,CND,M,,,,,
Charlotte Boisvert,2000,CND,F,,,,,
Charlotte Burke,2000,CND,F,,,,,
Charlotte Richard,2000,CND,F,,,,,
Chloe Martin,2002,CND,F,,,,,
Christian Patterson,2001,CND,,,,,,
Christine Gauthier,1970,CND,,,,,,
Christine George,1999,CND,,,,,,
Christophe Proulx,1995,CND,M,,,,,
Cian Brushett,2001,CND,,,,,,
Claire Carruthers,2001,CND,F,,,,,
Clément Bouchard,1996,CND,,,,,,
Colin Black,1991,CND,M,,,,,
Colin Rieger,1999,CND,M,,,,,
Connor Fitzpatrick,1998,CND,M,,,,,
Conor O'Neill,1999,CND,M,,,,,
Corrina Higgins,1999,CND,F,,,,,
Courtney Piercey,2000,CND,,,,,,
Courtney Stott,1992,CND,F,K,Balmy Beach,,,
Craig Johnson,2003,CND,M,,,,,
Craig Spence,1995,CND,M,,,,,
Daniel McCullough,2002,CND,M,,,,,
Daniel Royal,2002,CND,M,,,,,
Darya Carmichael,2000,CND,,,,,,
Dave Waters,1968,CND,M,,,,,
David Provost,1996,CND,M,,,,,
David Stewart,1999,CND,M,,,,,
Dawson Peachey,2000,CND,M,,,,,
Dominic Gomez-Granger,1999,CND,M,,,,,
Dominik Crête,1991,CND,,,,,,
Douglas Ellery,1990,CND,M,,,,,
Draga Culjak,1968,CND,F,Para,Balmy Beach,,,
