country,name,age,boat,gender,by
ARG,Chiara Gutierrez,2,C,W,2002
ARG,Joaquin Lukac,2,C,M,2002
ARG,Lisandro Butti,2,K,M,2002
ARG,Lisandro Utti,2,K,M,2002
ARG,Manuel Orero,3,K,M,2003
ARG,Nahir Odriguez,3,K,W,2003
ARG,Nahir Rodriguez,3,K,W,2003
ARG,Pedro Ratto,2,K,M,2002
ARG,Rebeca Destefano,2,K,W,2002
ARG,Valentin Rossi,2,K,M,2002
ARM,Davit Marabyan,1,C,M,2001
ARM,Karen Harutyunyan,0,K,M,2000
ARM,Vahe Davtyn,0,C,M,2000
AUS,Ashlee Schoene,1,K,W,2001
AUS,Bancroft Lachlan,1,K,M,2001
AUS,Brodhurst Carter,1,K,M,2001
AUS,Caitlin Ribbons,0,K,W,2000
AUS,Chelsea Beale,2,K,W,2002
AUS,Daniel Kucharski,1,K,M,2001
AUS,Fay Alicia,1,K,W,2001
AUS,Fletcher Armstrong,2,K,M,2002
AUS,Jarrah Sheppard,2,K,M,2002
AUS,Jessica Allen,1,K,W,2001
AUS,Jessica Llen,1,K,W,2001
AUS,Kobe Wilson,1,K,M,2001
AUS,Luke Egger,2,K,M,2002
AUS,Macgregor Doyle,0,K,M,2000
AUS,Nicci Vesely,2,K,W,2002
AUS,Peacock Daniel,0,K,M,2000
AUS,Sebastian Kucharski,1,K,M,2001
AUS,Shania Smee,0,K,W,2000
AUS,Tasman Farrell,1,K,M,2001
AUS,Thomas Hughes,0,K,M,2000
AUS,Warne Anthea,1,K,W,2001
AUS,Yasemin Ray,1,K,W,2001
AUT,Bianca Schuster,2,K,W,2002
AUT,Cornelia Hepp,3,K,W,2003
AUT,Lena Hölzl,3,K,W,2003
AUT,Leopold Vogtenhuber,2,K,M,2002
AUT,Lukas Schuster,0,K,M,2000
AUT,Marina Schmalzer,3,K,W,2003
AUT,Matthias Ritschel,1,K,M,2001
AUT,Timon Maurer,0,K,M,2000
BEL,Amber Van Broekhoven,0,K,W,2000
BEL,Jules Vangeel,2,K,M,2002
BEL,Thomas Nevelsteen,0,K,M,2000
BEL,Tom Verduyckt,1,K,M,2001
BIH,Mia Matijevic,1,K,W,2001
BIH,Sanjin Sabanovic,0,K,M,2000
BUL,Denis Dimitrov,1,K,M,2001
BUL,Dimitar Petrov,1,C,M,2001
BUL,Virdjinia Korcheva,0,K,W,2000
BUL,Yoana Georgieva,2,K,W,2002
CAN,Adam Richard,0,C,M,2000
CAN,Adriana Osende,1,K,W,2001
CAN,Alex Canning,0,K,M,2000
CAN,Alexander Mallet,1,K,M,2001
CAN,Alexandre Hoferek,0,K,M,2000
CAN,Alexanne Morin,0,K,W,2000
CAN,Andrew Billard,2,C,M,2002
CAN,Anya Chuprys,0,K,W,2000
CAN,Brooklyn Wodehouse,0,K,W,2000
CAN,Cameron Ledrew,0,K,M,2000
CAN,Cameron Low,1,K,M,2001
CAN,Charlotte Richard,0,C,W,2000
CAN,Dawson Peachey,0,C,M,2000
CAN,Florence Turcotte,1,K,W,2001
CAN,Hannah English,0,K,W,2000
CAN,Jenna Neate,0,K,W,2000
CAN,Jessica Mackay,1,C,W,2001
CAN,Julia Osende,1,C,W,2001
CAN,Laura Mackinnon,0,K,W,2000
CAN,Laurent Lavigne,1,K,M,2001
CAN,Lindsay Irwin,0,C,W,2000
CAN,Louis Vranderick,0,K,M,2000
CAN,Maeve Leblanc,0,C,W,2000
CAN,Marc Cinq-mars,2,C,M,2002
CAN,Maren Bradley,1,K,W,2001
CAN,Marlee Macintosh,0,C,W,2000
CAN,Mason Koch,0,C,M,2000
CAN,Matthew O´neill,2,C,M,2002
CAN,Michaela Ermanovics,0,C,W,2000
CAN,Nicholas Billard,0,C,M,2000
CAN,Nikole Gorelova,0,C,W,2000
CAN,Olivia Pucci,1,K,W,2001
CAN,Sacha Skirzyk,1,K,M,2001
CAN,Samantha Stein,0,K,W,2000
CAN,Sawyer Capes,0,K,M,2000
CAN,Sloan Mackenzie,2,C,W,2002
CAN,Stephane Richard,0,C,M,2000
CAN,Tyler Laidlaw,0,C,M,2000
CAN,Vadim Covalciuc,0,K,M,2000
CAN,Ydris Hunter,1,C,M,2001
