2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:00,,,,,,,,,,
"Race #126, Event #201: Senior Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Dolan, Ryan",HCKT,00:37.7,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Panchenko, Oleg",ROCK,00:40.4,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Mullican, Aaron",LCKC,00:40.5,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Burdiak, Tim",SDCKT,00:41.9,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Mechini, Ryan",Keystone,00:44.1,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Cacatian, Leonardo",WCC,00:47.3,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Kaunzinger, Kurt",RTR,00:52.2,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Diaz, Henry",IND,,SCR,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:04,,,,,,,,,,
"Race #127, Event #201: Senior Men 200m K1 Heat 2",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Guiardinu, Andy",OKC,00:38.1,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Petrovics, Peter",WCC,00:40.1,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Petrovics, David",WCC,00:40.2,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Barlow, Sean",SDCKT,00:41.9,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Kaleoaloha, Kaleikoa",HCKT,00:42.6,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"DeNeergaard, Sev",LCKC,00:49.9,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Hyle, Reid",IND,,SCR,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:08,,,,,,,,,,
"Race #128, Event #201: Senior Men 200m K1 Heat 3",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Miller, Chris",LCKC,00:37.4,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Schwinn, Austin",OKC,00:38.0,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Collins, Stanton",LCKC,00:39.0,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Osusky, Juraj",SCKC,00:39.3,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"McArthur, Jared",OKC,00:39.4,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"House, William",LCKC,00:40.5,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Lishchuk, Jesse",Keystone,00:40.9,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:00,,,,,,,,,,
"Race #179, Event #201: Senior Men 200m K1 Final A",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Dolan, Ryan",HCKT,00:36.8,1,9,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Miller, Chris",LCKC,00:37.2,2,7,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Schwinn, Austin",OKC,00:38.4,3,5,,,,,,
