"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Austen Czuegler","K1",200,"Men",48.2,"final A","8th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Austen Czuegler","K1",200,"Men",49.17,"heat","4th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Austen Czuegler","K1",200,"Men",46.53,"semis","3rd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Austen Czuegler","K1",1000,"Men",261.19,"final A","7th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Austen Czuegler","K1",1000,"Men",275.11,"heat","4th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Austen Czuegler","K1",1000,"Men",271.93,"semis","2nd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Azusa Murphy","C1",200,"Women",64.34,"final","3rd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Azusa Murphy","C1",200,"Women",64.45,"final","3rd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",43.01,"final A","1st","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",45.39,"heat","1st","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett","K1",1000,"Men",240.52,"finalA","3rd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett","K1",1000,"Men",260.65,"heat","1st","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett; Istvan Urban","K2",200,"Men",39.46,"final A","6th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Dylan Puckett; Istvan Urban","K2",1000,"Men",227.2,"final A","6th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Evan Truesdale","K1",200,"Men",58.58,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Evan Truesdale","K1",1000,"Men",303.08,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",1000,"Men",239.95,"final",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",1000,"Men",248.92,"heat",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",1000,"Men",261.82,"semis",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Kyle Field","K1",200,"Men",51.86,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Kyle Field","K1",200,"Men",53.63,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Kyle Field","K1",1000,"Men",283.03,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Kyle Field","K1",1000,"Men",286.19,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Lydia Keefe-Sampson","C1",200,"Women",61.3,"final","1st","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Lydia Keefe-Sampson","C1",200,"Women",63.49,"final","2nd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",200,"Women",60.85,"final","1st","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",200,"Women",62.78,"final","2nd","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Michael Weyna","K1",200,"Men",47.61,"final","7th","NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Michael Weyna","K1",200,"Men",45.76,"heat",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",251.76,"final",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",258.64,"heat",NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",200,"Men",45.61,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",200,"Men",45.69,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",1000,"Men",256.76,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",1000,"Men",271.72,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",1000,"Men",274.6,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Nate Errez","K1",200,"Men",50.59,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Nate Errez","K1",200,"Men",52.09,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Nate Errez","K1",200,"Men",52.6,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
"Nate Errez","K1",1000,"Men",286.26,NA,NA,"NA","Trials 2013",4,27,2013,"yes","NA","NA","NA"
