"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aidan Denny","K1",500,"Men",204.19,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Aidan Denny","K1",1000,"Men",407.5,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Alec Denny","K1",500,"Men",177.34,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",200,"Men",52.31,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",200,"Men",53.74,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",500,"Men",143.71,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Lydia Keefe-Sampson","C1",200,"Women",65.29,"final","1st","NA","Pacific Cup 2011",9,23,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",200,"Men",49.67,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",200,"Men",51.24,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",500,"Men",137.97,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Nate Errez","K1",200,"Men",68.34,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
"Nate Errez","K1",500,"Men",177.84,"NA","NA","NA","Pacific Cup 2011",9,10,2011,"yes","NA","NA","NA"
