"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Andreea Ghizila","C1",200,"Women",55.99,"final","1st","open","Slawko 2017",4,1,2017,"yes","racing up","NA","NA"
"Andreea Ghizila","C1",200,"Women",57.87,"final","1st","NA","Slawko 2017",4,1,2017,"yes","NA","NA","NA"
"Andreea Ghizila","C1",500,"Women",148.65,"final","2nd","open","Slawko 2017",4,1,2017,"yes","racing up","NA","NA"
"Andreea Ghizila","C1",500,"Women",149.17,"final","1st","NA","Slawko 2017",4,1,2017,"yes","NA","NA","NA"
"Chauncey Bevin","K1",200,"Men",45.07,"final","2nd","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Chauncey Bevin","K1",200,"Men",46.87,"heat","NA","U17","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Chauncey Bevin","K1",200,"Men",48.58,"heat","NA","U15","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Chauncey Bevin","K1",500,"Men",138.05,"final","5th","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Chauncey Bevin","K1",500,"Men",131.81,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ella Bloomquist","K1",500,"Women",184.07,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jackson Plymale","K1",200,"Men",61.08,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jackson Plymale","K1",500,"Men",132.14,"final","4th","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jackson Plymale","K1",500,"Men",124.87,"heat","NA","U17","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jackson Plymale","K1",500,"Men",126.19,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",200,"Men",48.82,"final","5th","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",200,"Men",48.19,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",500,"Men",131.83,"heat","NA","U15","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",500,"Men",132.6,"heat","NA","U17","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",4000,"Men",1380.09,"final","2nd","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonas Ecker","K1",6000,"Men",2173.5,"final","NA","U17","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonathan Barnato","K1",200,"Men",40.64,"final","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonathan Barnato","K1",200,"Men",40.72,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonathan Barnato","K1",500,"Men",119.97,"final","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonathan Barnato","K1",500,"Men",116.2,"heat","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Jonathan Barnato","K1",6000,"Men",1946.19,"final","2nd","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Justin Barker","K1",6000,"Men",1855.78,"final","3rd","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Justin Rowntree","K1",200,"Men",44.73,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Justin Rowntree","K1",500,"Men",127.4,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Justin Rowntree","K1",6000,"Men",2072.24,"final","6th","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Liam Jennings","K1",200,"Men",49.73,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Liam Jennings","K1",500,"Men",130.68,"final","2nd","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Liam Jennings","K1",500,"Men",127.32,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Liam Jennings","K1",4000,"Men",1384.2,"final","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ryan Wurts","K1",200,"Men",43.91,"final","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ryan Wurts","K1",200,"Men",43.77,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ryan Wurts","K1",500,"Men",126.93,"final","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ryan Wurts","K1",500,"Men",128.57,"heat","NA","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
"Ryan Wurts","K1",4000,"Men",1376,"final","1st","NA","Slawko 2017",5,1,2017,"yes","NA","NA","NA"
