"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Sophia Jensen","C1",500,"Women",129.367,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Amelia Braun","C1",500,"Women",139.294,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Yuliana Putnina","C1",500,"Women",139.354,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Lina Bielicke","C1",500,"Women",143.671,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Charlotte Carey","C1",500,"Women",144.448,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Paola Arellano","C1",500,"Women",146.871,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Martina Vela","C1",500,"Women",150.715,"Heat","7","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 1 Race 1 09:00 - 01/08/2019"
"Gulbakhor Fayzieva","C1",500,"Women",134.7,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Reka Opavszky","C1",500,"Women",135.763,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Antia Otero","C1",500,"Women",142.04,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Gulzhaina Tynybekova","C1",500,"Women",143.044,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Denisa Rahova","C1",500,"Women",143.254,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Paula Gomez","C1",500,"Women",144.194,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 2 Race 2 09:06 - 01/08/2019"
"Yarisleidis Duboys","C1",500,"Women",133.036,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Xialian Lin","C1",500,"Women",134.079,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Olga Aleksandrova","C1",500,"Women",139.456,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Tania Virijac","C1",500,"Women",140.249,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Anhelina Bardanouskaya","C1",500,"Women",140.759,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Lucia Valova","C1",500,"Women",142.626,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","C1 Jun Women 500m - Heat 3 Race 3 09:12 - 01/08/2019"
"Andras Redl","K1",1000,"Men",225.244,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Danil Vetrov","K1",1000,"Men",226.195,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Philip Miles","K1",1000,"Men",227.062,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Wiktor Zarski","K1",1000,"Men",228.057,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Darius Zaharia","K1",1000,"Men",231.767,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Sam Ferkins","K1",1000,"Men",232.832,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Vitalii Bratash","K1",1000,"Men",236.005,"Heat","7","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Kenshiro Yasui","K1",1000,"Men",241.7,"Heat","8","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 1 Race 7 09:36 - 01/08/2019"
"Moritz Florstedt","K1",1000,"Men",226.894,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Jules Vangeel","K1",1000,"Men",227.772,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Pablo Sanchez","K1",1000,"Men",228.682,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Jordy Malherbe","K1",1000,"Men",231.082,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Augustus Cook","K1",1000,"Men",234.822,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Aron Faber","K1",1000,"Men",237.117,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Milan Dekker","K1",1000,"Men",238.122,"Heat","7","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 2 Race 8 09:43 - 01/08/2019"
"Kirill Tubayev","K1",1000,"Men",226.501,"Heat","1","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
"Josip Lenac","K1",1000,"Men",229.532,"Heat","2","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
"Tiago Henriques","K1",1000,"Men",230.827,"Heat","3","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
"Mark Meszlenyi","K1",1000,"Men",232.079,"Heat","4","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
"Stanislau Mikhalishyn","K1",1000,"Men",232.082,"Heat","5","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
"Tinus Koekemoer","K1",1000,"Men",232.447,"Heat","6","Jun","Jr and U23 Worlds 2019",8,1,2019,"yes","","Jr and U23 Worlds 2019","K1 Jun Men 1000m - Heat 3 Race 9 09:50 - 01/08/2019"
