name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Andrew Field,C1,1000,Men,262.064,heat,8th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Ben Hefner,C1,200,Men,49.085,heat,7th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ben Hefner,C1,200,Men,46.299,semis,8th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ben Hefner,C1,200,Men,42.852,final B,8th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Cannie Ash,K1,500,Women,132.258,heat,8th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Chris Miller; Stanton Collins,K2,1000,Men,206.122,heat,6th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Chris Miller; Stanton Collins,K2,1000,Men,225.379,semis,6th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Chris Miller; Stanton Collins,K2,1000,Men,206.393,final B,5th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Chris Miller; Stanton Collins,K2,200,Men,37.247,semis,6th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Chris Miller; Stanton Collins,K2,200,Men,34.53,final B,5th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Gavin Ross,C1,200,Men,49.078,heat,6th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Gavin Ross,C1,200,Men,46.033,semis,7th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Ian Ross,C1,1000,Men,251.481,heat,3rd,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ian Ross,C1,1000,Men,277.365,semis,4th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ian Ross,C1,1000,Men,247.002,final B,2nd,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,1000,Men,209.514,heat,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,1000,Men,229.685,semis,8th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,200,Men,37.789,heat,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,1000,Men,213.663,final B,7th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,200,Men,37.864,semis,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Istvan Urban; Dylan Puckett,K2,200,Men,35.437,final B,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Jesse Lishchuk,K1,1000,Men,242.669,heat,6th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Jesse Lishchuk,K1,1000,Men,244.355,semis,7th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Jesse Lishchuk,K1,200,Men,44.83,heat,7th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Jesse Lishchuk,K1,200,Men,40.524,semis,9th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Katy Hill,K1,200,Women,48.836,heat,4th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Katy Hill,K1,200,Women,49.233,semis,8th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Katy Hill,K1,200,Women,45.209,final B,9th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,62.362,heat,5th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,59.792,semis,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Natalie Griffin; Alyson Morse,K2,500,Women,116.807,heat,6th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Natalie Griffin; Alyson Morse,K2,500,Women,123.42,semis,9th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Ryan Dolan,K1,200,Men,39.496,heat,3rd,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ryan Dolan,K1,200,Men,39.806,semis,4th,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Ryan Dolan,K1,200,Men,35.817,final B,2nd,U23,U23 Worlds 2013,7,28,2013,yes,NA,NA,NA
Sarah Tokos,K1,500,Women,128.571,heat,6th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Sarah Tokos,K1,500,Women,143.883,semis,7th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Sarah Tokos,K1,200,Women,54.341,heat,6th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Sarah Tokos,K1,200,Women,48.769,semis,8th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Savannah Jones; Makenzie Sousley,C2,500,Women,132.43,final A,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Zachary Guay; Nick Baert,C2,1000,Men,246.802,heat,8th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Zachary Guay; Nick Baert,C2,1000,Men,264.918,semis,5th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
Makenzie Sousley; Savannah Jones,C2,500,Women,132.43,final,4th,Junior,Junior Worlds 2013,7,28,2013,yes,NA,NA,NA
