"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Greg Barton","K1",1000,"Men",216.59,"Heat","3","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Greg Barton","K1",1000,"Men",212.4,"Heat","1","Senior","Olympics 1992",8,4,1992,"yes","Repachage","NA","NA"
"Greg Barton","K1",1000,"Men",216.34,"Semis","1","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Greg Barton","K1",1000,"Men",217.93,"Final","3","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Norm Bellingham","K1",500,"Men",101,"Heat","2","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Norm Bellingham","K1",500,"Men",101.48,"Semis","2","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Norm Bellingham","K1",500,"Men",100.84,"Final","4","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Sheila Conover","K1",500,"Women",114.57,"Heat","1","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Sheila Conover","K1",500,"Women",113.05,"Semis","5","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",500,"Men",92.42,"Heat","1","Senior","Olympics 1992",8,7,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",500,"Men",89.8,"Semis","4","Senior","Olympics 1992",8,7,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",500,"Men",93.02,"Final","8","Senior","Olympics 1992",8,7,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",195.74,"Heat","2","Senior","Olympics 1992",8,4,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",197.93,"Semis","2","Senior","Olympics 1992",8,6,1992,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",199.26,"Final","4","Senior","Olympics 1992",8,8,1992,"yes","NA","NA","NA"
"Chris Barlow; Mark Hamilton; Mike Herbert; Terry Kent","K4",1000,"Men",178.87,"Heat","4","Senior","Olympics 1992",8,8,1992,"yes","NA","NA","NA"
"Chris Barlow; Mark Hamilton; Mike Herbert; Terry Kent","K4",1000,"Men",176.57,"Semis","3","Senior","Olympics 1992",8,8,1992,"yes","NA","NA","NA"
"Chris Barlow; Mark Hamilton; Mike Herbert; Terry Kent","K4",1000,"Men",184.3,"Final","9","Senior","Olympics 1992",8,8,1992,"yes","NA","NA","NA"
