"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Juan Carlos Sanchez Hernandez","K1",500,"Men",115.68,"Heat","3","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 1"
"Thom Crockett","K1",500,"Men",110.15,"Heat","2","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 1"
"Jesse Lishchuk","K1",500,"Men",108.89,"Heat","1","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 1"
"Michael Miller","K1",500,"Men",118.61,"Heat","4","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 1"
"Sean Barlow","K1",500,"Men",124.17,"Heat","3","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 2"
"Nate Errez","K1",500,"Men",109.02,"Heat","1","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 2"
"Tim Burdiak","K1",500,"Men",113.06,"Heat","2","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 2"
"JC Pothier","K1",500,"Men",133.13,"Heat","4","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Senior 500 Heat 2"
"Julie Laterreur","K1",500,"Women",145.28,"Heat","4","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 1"
"Alina Urs","K1",500,"Women",130.06,"Heat","2","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 1"
"Renae Jackson","K1",500,"Women",128.8,"Heat","1","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 1"
"Courtney Stow","K1",500,"Women",139.89,"Heat","3","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 1"
"Madison Long","K1",500,"Women",151.22,"Heat","5","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 2"
"Mira Corrao","K1",500,"Women",134.82,"Heat","2","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 2"
"Sammie Barlow","K1",500,"Women",127.29,"Heat","1","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 2"
"Danielle Borm","K1",500,"Women",135.79,"Heat","3","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 2"
"Valeria Itzel Haro Arellano","K1",500,"Women",141.3,"Heat","4","Senior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Women Senior 500 Heat 2"
"TJ Woodard","K1",500,"Men",135.49,"Heat","2","Junior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Junior 500 Heat 1"
"Adrian Alberto Celaya Gonzalez","K1",500,"Men",138.7,"Heat","4","Junior","Slawko 2019",4,6,2019,"no","","Silver Blade","K1 Men Junior 500 Heat 1"
