name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Brice Anderson,C1,500,Men,134.648,final,4th,junior,PanAm Champs 2018,9,13,2018,yes,NA,NA,NA
Brice Anderson; Ian Ross,C2,1000,Men,301.497,final,6th,senior,PanAm Champs 2018,9,13,2018,yes,NA,NA,NA
Brice Anderson,C1,200,Men,50.64,final,4th,junior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Brice Anderson; Ian Ross,C2,200,Men,52.474,final,4th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Brice Anderson,C1,1000,Men,306.145,final,3rd,junior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Ann Armstrong; Lia Gaetano,C2,500,Women,134.688,final,8th,senior,PanAm Champs 2018,9,13,2018,yes,NA,NA,NA
Ann Armstrong,C1,200,Women,49.448,heat,2nd,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Ann Armstrong,C1,200,Women,54.114,final,4th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Ann Armstrong; Lia Gaetano,C2,1000,Women,319.817,final,4th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Ann Armstrong,C1,500,Women,146.144,final,6th,senior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Ann Armstrong; Lia Gaetano,C2,200,Women,50.55,final,7th,senior,PanAm Champs 2018,9,16,2018,yes,NA,NA,NA
Kelly Allen; Samantha Barlow; Renae Jackson; Kaitlyn McElroy,K4,500,Women,111.112,final,6th,senior,PanAm Champs 2018,9,13,2018,yes,NA,NA,NA
Samantha Barlow; Kaitlyn McElroy,K2,500,Women,120.662,final,6th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Samantha Barlow; Kaitlyn McElroy,K2,200,Women,45.637,final,7th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Samantha Barlow,K1,500,Women,119.326,heat,4th,senior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Samantha Barlow,K1,500,Women,133.785,semi,1st,senior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Samantha Barlow,K1,500,Women,126.265,final,7th,senior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Samantha Barlow; Kaitlyn McElroy,K2,1000,Women,244.813,final,3rd,senior,PanAm Champs 2018,9,15,2018,yes,NA,NA,NA
Tim Burdiak; Thom Crockett,K2,1000,Men,218.424,heat,3rd,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Tim Burdiak; Thom Crockett,K2,1000,Men,232.546,final,7th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Tim Burdiak; Thom Crockett; Nate Errez; Jesse Lishchuk,K4,1000,Men,184.628,final,4th,senior,PanAm Champs 2018,9,16,2018,yes,NA,NA,NA
Stanton Collins; Miles Cross-Whiter; Nate Errez; Aaron Mullican,K4,500,Men,88.301,final,6th,senior,PanAm Champs 2018,9,13,2018,yes,NA,NA,NA
Stanton Collins; Aaron Mullican,K2,200,Men,34.841,heat,2nd,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
Stanton Collins; Aaron Mullican,K2,200,Men,35.986,final,5th,senior,PanAm Champs 2018,9,14,2018,yes,NA,NA,NA
