"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Matúš Jedinák","K1",1000,"Men",230.531,"Heat","1","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Tamás Szántói Szabó","K1",1000,"Men",232.951,"Heat","2","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Osvaldas Mitkus","K1",1000,"Men",234.721,"Heat","3","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Mateusz Wisniewski","K1",1000,"Men",236.316,"Heat","4","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Kanta Endo","K1",1000,"Men",238.001,"Heat","5","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Egils Kalns","K1",1000,"Men",240.486,"Heat","6","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Sean Becker","K1",1000,"Men",242.036,"Heat","7","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Garrett Wampler","K1",1000,"Men",243.801,"Heat","8","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Benedek Kós","K1",1000,"Men",231.226,"Heat","1","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Hubert Olszewski","K1",1000,"Men",232.376,"Heat","2","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Jonathan Barnato","K1",1000,"Men",233.261,"Heat","3","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Ryuji Matsushiro","K1",1000,"Men",233.821,"Heat","4","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Tomáš Holka","K1",1000,"Men",236.631,"Heat","5","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Deividas Liukpetris","K1",1000,"Men",243.601,"Heat","6","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Valdislavs Fostijs","K1",1000,"Men",244.116,"Heat","7","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Weijun, Seow","K1",1000,"Men",245.856,"Heat","8","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Peter Karas","K1",1000,"Men",247.151,"Heat","9","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Rasmus Knudsen","K1",1000,"Men",227.761,"Heat","1","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Nico Knop","K1",1000,"Men",229.071,"Heat","2","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Jan Vorel","K1",1000,"Men",230.746,"Heat","3","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Dennis Kernen","K1",1000,"Men",231.491,"Heat","4","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Alex Canning","K1",1000,"Men",233.096,"Heat","5","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Bernardo Santos","K1",1000,"Men",233.376,"Heat","6","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Will Scammel","K1",1000,"Men",233.671,"Heat","7","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Timon Maurer","K1",1000,"Men",234.981,"Heat","8","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Tobias Heuser","K1",1000,"Men",227.046,"Heat","1","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Ondřej Mašek","K1",1000,"Men",229.291,"Heat","2","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Maxime Margely","K1",1000,"Men",231.046,"Heat","3","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Gustav Skovsager","K1",1000,"Men",232.146,"Heat","4","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Thomas Nevelsteen","K1",1000,"Men",233.491,"Heat","5","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"James Smithson","K1",1000,"Men",234.386,"Heat","6","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Cameron Ledrew","K1",1000,"Men",234.996,"Heat","7","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Lukas Schuster","K1",1000,"Men",236.021,"Heat","8","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Peacock Daniel","K1",1000,"Men",236.986,"Heat","9","(00)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (00)"
"Moritz Wenzel","K1",1000,"Men",229.926,"Heat","1","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Marko Ujvári","K1",1000,"Men",235.096,"Heat","2","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Damian Liskowiak","K1",1000,"Men",236.126,"Heat","3","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Hayato Ono","K1",1000,"Men",239.616,"Heat","4","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Nikola Perak","K1",1000,"Men",240.531,"Heat","5","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Karl Brodén","K1",1000,"Men",241.176,"Heat","6","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Andrew Surles","K1",1000,"Men",241.946,"Heat","7","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Tze Kuik","K1",1000,"Men",249.451,"Heat","8","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Ralfs Abasovs","K1",1000,"Men",258.766,"Heat","9","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Zsolt Libai","K1",1000,"Men",236.126,"Heat","1","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Evan Truesdale","K1",1000,"Men",238.181,"Heat","2","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Kacper Imieliński","K1",1000,"Men",238.286,"Heat","3","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Andrej Ninkovic","K1",1000,"Men",238.526,"Heat","4","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Shota Shitara","K1",1000,"Men",241.641,"Heat","5","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Jovi Kalaichelvan","K1",1000,"Men",243.096,"Heat","6","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Erik Andersson","K1",1000,"Men",244.561,"Heat","7","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Matiss Milzers","K1",1000,"Men",286.821,"Heat","8","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Tomáš Sobíšek","K1",1000,"Men",232.156,"Heat","1","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Marcell Monoki","K1",1000,"Men",232.966,"Heat","2","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Andras Kereszturi","K1",1000,"Men",235.266,"Heat","3","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Nicolas Pouillaude","K1",1000,"Men",238.396,"Heat","4","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Francisco Santos","K1",1000,"Men",238.956,"Heat","5","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Bancroft Lachlan","K1",1000,"Men",239.411,"Heat","6","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Sacha Skirzyk","K1",1000,"Men",248.421,"Heat","7","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Matej Madruša","K1",1000,"Men",256.411,"Heat","8","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"András Redl","K1",1000,"Men",230.876,"Heat","1","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Josef Záhora","K1",1000,"Men",232.046,"Heat","2","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Sam Ferkins","K1",1000,"Men",235.216,"Heat","3","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
"Milan Dekker","K1",1000,"Men",236.246,"Heat","4","(01)","OHR 2017",9,15,2017,"yes","","Olympic Hopes Regatta","K1 Men 1000 m (01)"
