"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Maryna Litvinchuk; Volha Khudzenka","K2",500,"Women",101.54,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Hermien Peters; Lize Broekx","K2",500,"Women",103.276,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Liudmyla Kuklinovska; Mariya Povkh","K2",500,"Women",103.364,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Mengdie Yin; Qing Ma","K2",500,"Women",105.284,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Melina Andersson; Moa Wikberg","K2",500,"Women",107.644,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Klaudia Cyrulewska; Martyna Klatt","K2",500,"Women",107.828,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Alicia Hoskin; Danielle Watson","K2",500,"Women",108.056,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Anna Zagorska; Julia Lagerstam","K2",500,"Women",109.736,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Barbara Pardo; Elisa Zapata Jenaro","K2",500,"Women",112.196,"Semis","9","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 1"
"Na Huang; Yu Chn Zhou","K2",500,"Women",103.341,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Manon Hostens; Sarah Guyot","K2",500,"Women",103.453,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Anna Pulawska; Justyna Iskrzycka","K2",500,"Women",103.813,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Jasmin Fritz; Julia Hergert","K2",500,"Women",105.817,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Anastasia Panchenko; Kira Stepanova","K2",500,"Women",105.845,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Michelle Russell; Natalie Davison","K2",500,"Women",107.053,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Netta Malinen; Pauliina Polet","K2",500,"Women",108.741,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Jiemei Chen; Jiexian Chen","K2",500,"Women",110.789,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Anastassiya Berezovskaya; Viktoriya Kopyova","K2",500,"Women",113.925,"Semis","9","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 2"
"Anja Osterman; Spela Ponomarenko Janic","K2",500,"Women",104.045,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Aimee Fisher; Caitlin Ryan","K2",500,"Women",104.313,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Ana Lehaci; Viktoria Schwarz","K2",500,"Women",106.105,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Jule Hake; Sarah Bruessler","K2",500,"Women",106.601,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Courtney Stott; Lisa Bissonnette","K2",500,"Women",107.793,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Anastasiia Dolgova; Kristina Kovnir","K2",500,"Women",107.861,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Brianna Massie; Jaime Roberts","K2",500,"Women",108.109,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Elise Erland; Kristine Amundsen","K2",500,"Women",116.457,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K2 W 500 - Semi - Final 3"
"Josef Dostal","K1",1000,"Men",215.388,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Rene Poulsen","K1",1000,"Men",216.204,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Etienne Hubert","K1",1000,"Men",216.22,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Cyrille Carre","K1",1000,"Men",216.948,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Jean Van Der Westhuyzen","K1",1000,"Men",217.276,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Lars Ullvang","K1",1000,"Men",219.524,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Aldis Vilde","K1",1000,"Men",220.28,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Lukas Reuschenbach","K1",1000,"Men",222.16,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 1"
"Thomas Green","K1",1000,"Men",216.726,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Rafal Rosolski","K1",1000,"Men",217.906,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Oleh Kukharyk","K1",1000,"Men",218.07,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Jost Zakrajsek","K1",1000,"Men",218.226,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Simon Mctavish","K1",1000,"Men",221.266,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Marko Tomicevic","K1",1000,"Men",223.766,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Albert Petersson","K1",1000,"Men",224.45,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Albert Marti","K1",1000,"Men",225.386,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Brian Malfesi","K1",1000,"Men",232.122,"Semis","9","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 2"
"Fernando Pimenta","K1",1000,"Men",215.233,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Aleh Yurenia","K1",1000,"Men",215.793,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Tamas Gecso","K1",1000,"Men",216.813,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Thomas Lusty","K1",1000,"Men",217.309,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Artuur Peters","K1",1000,"Men",218.057,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Barry Watkins","K1",1000,"Men",219.905,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Bartosz Stabno","K1",1000,"Men",220.469,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Martin Nathell","K1",1000,"Men",221.401,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Akos Gacsal","K1",1000,"Men",224.485,"Semis","9","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","K1 M 1000 - Semi - Final 3"
"Sebastian Brendel","C1",1000,"Men",233.455,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Hao Wang","C1",1000,"Men",234.499,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Maksim Piatrou","C1",1000,"Men",234.891,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Pavlo Altukhov","C1",1000,"Men",237.383,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Erlon De Souza Silva","C1",1000,"Men",238.115,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Vincent Slominski","C1",1000,"Men",240.151,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Roberts Lagzdins","C1",1000,"Men",245.679,"Semis","7","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Manfred Pallinger","C1",1000,"Men",251.067,"Semis","8","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 1"
"Isaquias Queiroz Dos Santos","C1",1000,"Men",231.307,"Semis","1","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
"Fernando Jorge Enriquez","C1",1000,"Men",231.631,"Semis","2","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
"Jose Pelier Cordova","C1",1000,"Men",232.059,"Semis","3","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
"Adrien Bart","C1",1000,"Men",234.351,"Semis","4","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
"Mark Oldershaw","C1",1000,"Men",238.707,"Semis","5","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
"Matej Rusnak","C1",1000,"Men",242.907,"Semis","6","Senior","Worlds 2019",5,24,2019,"yes","","Worlds 2019","C1 M 1000 - Semi - Final 2"
