name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Mullican,K1,200,Men,38.41,final,2nd,senior,US Trials 2017,5,20,2017,yes,NA,NA,NA
Aaron Mullican,K1,1000,Men,231.2,final,4th,senior,US Trials 2017,5,20,2017,yes,NA,NA,NA
Alex Lee,K1,200,Men,39.573,final,3rd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Alex Lee,K1,200,Men,42.33,heat,NA,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Alex Lee,K1,1000,Men,227.137,final,2nd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Alex Lee,K1,1000,Men,235.8,final,2nd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Alex Lee,K1,1000,Men,229.696,heat,NA,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andreea Ghizila,C1,200,Women,54.128,final,3rd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andreea Ghizila,C1,200,Women,54.753,final,2nd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andreea Ghizila,C1,500,Women,143.124,final,NA,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andreea Ghizila,C1,500,Women,145.3,final,NA,NA,US Trials 2017,5,20,2017,yes,don't see on website,NA,NA
Andreea Ghizila,C1,500,Women,145.726,final,2nd,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andreea Ghizila,C1,500,Women,151.3,final,NA,NA,US Trials 2017,5,20,2017,yes,don't see on website,NA,NA
Andrew Surles,K1,200,Men,44.753,final B,NA,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andrew Surles,K1,200,Men,45.371,heat,NA,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,247.732,final,6th,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,258.9,final,6th,NA,US Trials 2017,5,20,2017,yes,NA,NA,NA
