name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Stanton Collins,K1,200,Men,43.45,heat,3rd,NA,Bochom 2010,6,18,2010,yes,NA,NA,NA
Stanton Collins,K1,200,Men,42.62,semis,3rd,NA,Bochom 2010,6,18,2010,yes,NA,NA,NA
Stanton Collins,K1,1000,Men,248.12,final A,4th,NA,Bochom 2010,6,18,2010,yes,NA,NA,NA
Stanton Collins,K1,1000,Men,250.04,heat,3rd,NA,Bochom 2010,6,18,2010,yes,NA,NA,NA
Stanton Collins,K1,1000,Men,246.04,semis,1st,NA,Bochom 2010,6,18,2010,yes,NA,NA,NA
Marton Urban,K1,2000,Men,840,final,11th,NA,Budapest Bajnoksag 2012,7,1,2012,yes,NA,NA,NA
Marton Urban,K1,1000,Men,250.47,heat,6th,NA,Budapest Bajnoksag 2014,7,5,2014,yes,NA,NA,NA
Marton Urban,K1,1000,Men,222.59,heat,4th,NA,Budapest Bajnoksag 2015,7,4,2015,yes,NA,NA,NA
Marton Urban,K1,1000,Men,221.43,final,9th,NA,Budapest Bajnoksag 2016,7,9,2016,yes,NA,NA,NA
Marton Urban,K1,1000,Men,240,heat,4th,NA,Budapest Bajnoksag 2016,7,9,2016,yes,NA,NA,NA
Marton Urban,K1,500,Men,123.42,heat,6th,NA,Budapest Bajnoksag 2017,7,1,2017,yes,NA,NA,NA
Marton Urban,K1,1000,Men,231.04,heat,6th,NA,Budapest Bajnoksag 2017,7,1,2017,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,54.363,heat,5th,NA,Canadian Trials II 2018,5,18,2018,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,54.627,semis,4th,NA,Canadian Trials II 2018,5,18,2018,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,199.4,final A,10th,NA,Canadian Trials II 2018,5,18,2018,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,168.943,heat,6th,NA,Canadian Trials II 2018,5,18,2018,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,170.478,semis,3rd,NA,Canadian Trials II 2018,5,18,2018,yes,NA,NA,NA
Marton Urban,K1,500,Men,116.863,heat,6th,NA,Felnott 2017,5,14,2017,yes,NA,NA,NA
Marton Urban,K1,2000,Men,748.28,final,18th,NA,Gyermek 2012,7,27,2012,yes,NA,NA,NA
Alec Denny,K1,1000,Men,384.7,NA,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Angela Wang,C1,500,Women,157.9,final,1st,NA,Houk 2011,6,5,2011,yes,NA,NA,NA
Angela Wang,C1,500,Women,165.4,heat,1st,NA,Houk 2011,6,5,2011,yes,NA,NA,NA
Henry Hilt,K1,1000,Men,304.8,NA,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Henry Hilt,K1,1000,Men,318.6,NA,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Henry Hilt; Miles Cross-Whiter,K2,500,Men,137.3,final,3rd,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Henry Hilt; Miles Cross-Whiter,K2,1000,Men,399.4,NA,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Kyle Field,K1,1000,Men,325.4,heat,3rd,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,500,Women,168.2,final,4th,juv/jun,Houk 2011,6,5,2011,yes,racing up,NA,NA
Lydia Keefe-Sampson,C1,500,Women,162.4,heat,1st,juv/jun,Houk 2011,6,5,2011,yes,racing up,NA,NA
Makenzie Soiusley,C1,500,Women,164,final,2nd,NA,Houk 2011,6,5,2011,yes,NA,NA,NA
Makenzie Soiusley,C1,500,Women,177.4,heat,2nd,NA,Houk 2011,6,5,2011,yes,NA,NA,NA
Michael Weyna,K1,500,Men,126.9,final,open,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Michael Weyna,K1,500,Men,122,heat,open,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Michael Weyna,K1,500,Men,122.5,heat,juv,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Michael Weyna,K1,1000,Men,263.7,final,open,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Michael Weyna,K1,1000,Men,253.2,heat,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,300.4,heat,5th,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,293.3,NA,NA,NA,Houk 2011,6,10,2011,yes,NA,NA,NA
Marton Urban,K1,500,Men,119.446,heat,6th,NA,Hungarian Nationals 2016,7,28,2016,yes,NA,NA,NA
Marton Urban,K1,1000,Men,243.109,heat,7th,NA,Hungarian Nationals 2017,8,4,2017,yes,NA,NA,NA
Angela Wang,C1,200,Women,56.05,final A,5th,NA,Junior Worlds 2011,7,20,2011,yes,NA,NA,NA
