name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Ann Armstrong,C1,200,Women,53.025,heat,7th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Ann Armstrong,C1,200,Women,53.45,semis,9th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Marton Urban,K1,500,Men,111.767,heat,7th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Marton Urban,K1,1000,Men,244.9,heat,7th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Marton Urban,K1,1000,Men,248.912,semis,9th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Kaitlyn Mcelroy,K1,500,Women,126.528,heat,9th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Ian Ross,C1,200,Men,45.003,heat,6th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Kaitlyn Mcelroy,K1,200,Women,45.172,heat,6th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Kaitlyn Mcelroy,K1,200,Women,45.042,semis,9th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
Kaitlyn Mcelroy,K1,5000,Women,1517.293,final,16th,senior,Worlds 2017,8,25,2017,yes,NA,NA,NA
