"name","age","club","boat","gender","country","type"
"Adrien Bart",NA,NA,"C","M","FRA",NA
"Agustín Vernice",NA,NA,"K","M","ARG",NA
"Aivis Tints",NA,NA,"C","M","LAT",NA
"Akira Komata",NA,NA,"K","M","JPN",NA
"Alberto Pedrero",NA,NA,"C","M","ESP",NA
"Aldis Vilde",NA,NA,"K","M","LAT",NA
"Aleksandr Senkevych",NA,NA,"K","M","UKR",NA
"Aleksejs Rumjancevs",NA,NA,"K","M","LAT",NA
"Alena Nazdrova",NA,NA,"C","F","BLR",NA
"Alvaro Baturone",NA,NA,"K","M","SUI",NA
"Alyce Burnett",NA,NA,"K","F","AUS",NA
"Alyssa Bull",NA,NA,"K","F","AUS",NA
"Ana Ochoa",NA,NA,"C","F","COL",NA
"Ana Rodrigues",NA,NA,"C","F","POR",NA
"Ana Vergutz",NA,NA,"K","F","BRA",NA
"Ana Vergutz ::",NA,NA,"K","F","BRA",NA
"Anastasia Panchenko",NA,NA,"K","F","RUS",NA
"Anastasiia Todorova",NA,NA,"K","F","UKR",NA
"András Bodonyi",NA,NA,"C","M","HUN",NA
"Andri Summermatter",NA,NA,"K","M","SUI",NA
"Angel Kodinov",NA,NA,"C","M","BUL",NA
"Anggie Avegno",NA,NA,"C","F","ECU",NA
"Anja Osterman",NA,NA,"K","F","SLO",NA
"Anna Koziskova",NA,NA,"K","F","CZE",NA
"Anna Pulawska",NA,NA,"K","F","POL",NA
"Annika Loske",NA,NA,"C","F","GER",NA
"Antía Jacome",NA,NA,"C","F","ESP",NA
"Antun Novakovic",NA,NA,"K","M","CRO",NA
"Artsem Kozyr",NA,NA,"C","M","BLR",NA
"Arturas Seja",NA,NA,"K","M","LTU",NA
"Artuur Peters",NA,NA,"K","M","BEL",NA
"Asumi Ohmura",NA,NA,"K","F","JPN",NA
"Badri Kavelashvili",NA,NA,"K","M","GEO",NA
"Balázs Birkás",NA,NA,"K","M","HUN",NA
"Bálint Kopasz",NA,NA,"K","M","HUN",NA
"Bálint Noé",NA,NA,"K","M","HUN",NA
"Bartosz Stabno",NA,NA,"K","M","POL",NA
"Bence Nádas",NA,NA,"K","M","HUN",NA
"Biljana Relic",NA,NA,"K","F","SRB",NA
"Bojan Zdelar",NA,NA,"K","M","SRB",NA
"Bram Brandjes",NA,NA,"K","M","NED",NA
"Bridgitte Hartley",NA,NA,"K","F","RSA",NA
"Carla Frieiro",NA,NA,"K","F","ESP",NA
"Carlo Tacchini",NA,NA,"C","M","ITA",NA
"Carlos Garrote",NA,NA,"K","M","ESP",NA
"Catalin Chirila",NA,NA,"C","M","ROU",NA
"Catherine Mcarthur",NA,NA,"K","F","AUS",NA
"Chloe Bracewell",NA,NA,"C","F","GBR",NA
"Chrisjan Coetzee",NA,NA,"K","M","RSA",NA
"Craig Spence",NA,NA,"C","M","CAN",NA
"Cristina Petracca",NA,NA,"K","F","ITA",NA
"Csaba Zalka",NA,NA,"K","M","SVK",NA
"Cyrille Carre",NA,NA,"K","M","FRA",NA
"Dan Drahokoupil",NA,NA,"C","M","CZE",NA
"Daniela Cociu",NA,NA,"C","F","MDA",NA
"Danuta Kozák",NA,NA,"K","F","HUN",NA
"Darya Baicheuskaya",NA,NA,"K","F","BLR",NA
"David Fernández",NA,NA,"C","M","ESP",NA
"Dávid Korisánszky",NA,NA,"C","M","HUN",NA
"Dominik Crête",NA,NA,"K","M","CAN",NA
"Dóra Bodonyi",NA,NA,"K","F","HUN",NA
"Dóra Lucz",NA,NA,"K","F","HUN",NA
"Dorota Borowska",NA,NA,"C","F","POL",NA
"Dragan Hancovski",NA,NA,"K","M","SRB",NA
"Edson Silva",NA,NA,"K","M","BRA",NA
"Eduard Shemetylo",NA,NA,"C","M","UKR",NA
"Edyta Kierkla",NA,NA,"K","F","POL",NA
"Eivind Vold",NA,NA,"K","M","NOR",NA
"Elena Aniushina",NA,NA,"K","F","RUS",NA
"Emma Jørgensen",NA,NA,"K","F","DEN",NA
"Enrique Adan",NA,NA,"K","M","ESP",NA
"Esti Van Tonder",NA,NA,"K","F","RSA",NA
