"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Evan Truesdale","K1",200,"Men",40.74,"final","5th","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Evan Truesdale","K1",200,"Men",40.16,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Evan Truesdale","K1",500,"Men",110.49,"final A","4th","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Evan Truesdale","K1",500,"Men",113.74,"heat","1st","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Garrett Wampler","K1",200,"Men",42.6,"final","9th","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Garrett Wampler","K1",200,"Men",41.45,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Garrett Wampler","K1",500,"Men",119.7,"final A","9th","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Garrett Wampler","K1",500,"Men",108.29,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Jacob Eash","K1",200,"Men",44.32,"final B","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Jacob Eash","K1",200,"Men",43.67,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Jacob Eash","K1",500,"Men",126.35,"final B","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Jacob Eash","K1",500,"Men",126.62,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Makenzie Soiusley","C1",200,"Women",50.22,"final","1st","NA","Silver Blade 2017",4,9,2017,"no","NA","NA","NA"
"Makenzie Soiusley","C1",500,"Women",155.44,"final","2nd","NA","Silver Blade 2017",4,9,2017,"no","NA","NA","NA"
"Nate Errez","K1",200,"Men",37.41,"final","3rd","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Nate Errez","K1",200,"Men",38.28,"heat","NA","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Nate Errez","K1",500,"Men",106.52,"heat","3rd","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
"Nate Errez","K1",500,"Men",109.63,"heat","2nd","NA","Silver Blade 2017",4,1,2017,"no","NA","NA","NA"
