"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Dylan Puckett","K1",500,"Men",112.453,"heat","5th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett","K1",500,"Men",111.139,"semis","5th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett; Istvan Urban","K2",1000,"Men",212,"final A","6th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett; Istvan Urban","K2",1000,"Men",217.002,"heat","5th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett; Istvan Urban","K2",1000,"Men",214.446,"semis","2nd","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett; Michael Weyna","K2",200,"Men",36.681,"heat","6th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Dylan Puckett; Michael Weyna","K2",200,"Men",38.434,"semis","6th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Garen Doyle","K1",200,"Men",42.274,"heat","8th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Garen Doyle","K1",500,"Men",123.827,"heat","7th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Garen Doyle","K1",1000,"Men",259.068,"heat","6th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Garen Doyle","K1",1000,"Men",254.592,"semis","8th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Istvan Urban","K1",200,"Men",40.446,"heat","5th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Istvan Urban","K1",200,"Men",39.833,"semis","6th","NA","OHR 2012",9,16,2012,"yes","NA","NA","NA"
"Michael Weyna","K1",500,"Men",115.183,"heat","8th","NA","OHR 2012",9,14,2012,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",244.609,"heat","7th","NA","OHR 2012",9,14,2012,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",238.17,"semis","8th","NA","OHR 2012",9,14,2012,"yes","NA","NA","NA"
