"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Marko Tomicevic; Milenko Zoric","K2",1000,"Men",192.592,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Francisco Cubelos; Iñigo Peña","K2",1000,"Men",196.952,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Andrej Olijnik; Ricardas Nekriosius","K2",1000,"Men",198.492,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Jo Solhaug; Jon Vold","K2",1000,"Men",200.917,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Luca Beccaro; Tommaso Freschi","K2",1000,"Men",204.082,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Daniel Dal Bo; Manuel Micaz","K2",1000,"Men",209.002,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","39 Heat 1 K2 Men 1000m"
"Marcus Gross; Max Hoff","K2",1000,"Men",192.197,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Adam Botek; Peter Gelle","K2",1000,"Men",193.532,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Jordan Wood; Riley Fitzsimmons","K2",1000,"Men",195.212,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Martin Brzezinski; Rafal Rosolski","K2",1000,"Men",196.367,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Guillaume Burger; Maxime Beaumont","K2",1000,"Men",196.997,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Albert Petersson; Martin Nathell","K2",1000,"Men",197.412,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Daniel Johnson; Thomas Lusty","K2",1000,"Men",199.462,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","40 Heat 2 K2 Men 1000m"
"Aleh Yurenia; Pavel Miadzvedzeu","K2",1000,"Men",194.117,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Morten Graversen; René Poulsen","K2",1000,"Men",196.143,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Daniel Havel; Jakub Špicar","K2",1000,"Men",198.763,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Bruno Moreira; Fabio Cameira","K2",1000,"Men",199.248,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Oleksandr Syromiatnykov; Serhiy Bashtovyy","K2",1000,"Men",199.863,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Bálint Noé; Róbert Ilyés","K2",1000,"Men",200.173,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Alexey Vostrikov; Igor Kalashnikov","K2",1000,"Men",200.213,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","41 Heat 3 K2 Men 1000m"
"Daniele Santini; Luca Incollingo","C2",1000,"Men",218.627,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Mateusz Kaminski; Vincent Slominski","C2",1000,"Men",218.897,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Aivis Tints; Gatis Pranks","C2",1000,"Men",223.722,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Andrii Rybachok; Yurii Vandiuk","C2",1000,"Men",228.427,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Ivan Patapenka; Vladislav Lukashuk","C2",1000,"Men",256.684,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Peter Kretschmer; Yul Oeltze","C2",1000,"Men",257.704,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","42 Heat 1 C2 Men 1000m"
"Fernando Enrique; Serguey Madrigal","C2",1000,"Men",219.383,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Leonid Carp; Victor Mihalachi","C2",1000,"Men",222.683,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Connor Fitzpatrick; Roland Varga","C2",1000,"Men",223.023,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Adrien Bart; Thomas Simart","C2",1000,"Men",223.683,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Bruno Afonso; Marco Apura","C2",1000,"Men",232.889,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Ilie Sprincean; Oleg Nuta","C2",1000,"Men",244.824,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","43 Heat 2 C2 Men 1000m"
"Ilya Pervukhin; Kirill Shamshurin","C2",1000,"Men",219.092,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","44 Heat 3 C2 Men 1000m"
"Filip Dvorák; Tomáš Janda","C2",1000,"Men",220.727,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","44 Heat 3 C2 Men 1000m"
"Adrián Sieiro; Sergio Vallejo","C2",1000,"Men",222.612,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","44 Heat 3 C2 Men 1000m"
"Dávid Korisánszky; Róbert Mike","C2",1000,"Men",222.662,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","44 Heat 3 C2 Men 1000m"
"Erlon Silva; Maico Santos","C2",1000,"Men",222.987,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","44 Heat 3 C2 Men 1000m"
"Volha Khudzenka","K1",500,"Women",111.294,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Alyce Burnett","K1",500,"Women",113.814,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Ivana Mládková","K1",500,"Women",115.524,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Cristina Petracca","K1",500,"Women",116.779,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Lea Jamelot","K1",500,"Women",116.969,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Carla Frieiro","K1",500,"Women",118.594,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Sofie Kinclova","K1",500,"Women",119.859,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Khaoula Sassi","K1",500,"Women",125.39,"Heat","8",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","45 Heat 1 K1 Women 500m"
"Lisa Carrington","K1",500,"Women",113.239,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Linnea Stensils","K1",500,"Women",114.169,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Anja Osterman","K1",500,"Women",115.404,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"María Garro ::","K1",500,"Women",120.129,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Ana Vergutz ::","K1",500,"Women",120.864,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Pauliina Polet","K1",500,"Women",121.089,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Maria Rei ::","K1",500,"Women",122.075,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Jitta Van Der Laan ::","K1",500,"Women",122.115,"Heat","8",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","46 Heat 2 K1 Women 500m"
"Anna Pulawska","K1",500,"Women",112.764,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Milica Starovic","K1",500,"Women",113.234,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Emma Jørgensen","K1",500,"Women",114.124,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Michelle Russell","K1",500,"Women",114.364,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Esti Van Tonder","K1",500,"Women",117.279,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Jennifer Egan","K1",500,"Women",118.514,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Asumi Ohmura","K1",500,"Women",119.619,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","47 Heat 3 K1 Women 500m"
"Danuta Kozák","K1",500,"Women",111.529,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","48 Heat 4 K1 Women 500m"
"Elena Aniushina","K1",500,"Women",112.919,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","48 Heat 4 K1 Women 500m"
"Rebeka Simon","K1",500,"Women",115.059,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","48 Heat 4 K1 Women 500m"
"Nina Krankemann","K1",500,"Women",115.394,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","48 Heat 4 K1 Women 500m"
"Madara Aldina","K1",500,"Women",118.579,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","48 Heat 4 K1 Women 500m"
"Josef Dostál","K1",500,"Men",98.238,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Bence Nádas","K1",500,"Men",98.603,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Artuur Peters","K1",500,"Men",101.523,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Bojan Zdelar","K1",500,"Men",102.578,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Joona Mäntynen","K1",500,"Men",103.053,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Bram Brandjes","K1",500,"Men",103.103,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Mathew Bowley","K1",500,"Men",104.078,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","49 Heat 1 K1 Men 500m"
"Oleh Kukharyk","K1",500,"Men",100.034,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Thomas Green","K1",500,"Men",100.204,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Antun Novakovic","K1",500,"Men",103.234,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Ilya Podpolnyy","K1",500,"Men",106.119,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Tom Brennan","K1",500,"Men",112.54,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Joaquim Manhique","K1",500,"Men",117.045,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Ossama Bousserra","K1",500,"Men",121.08,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","50 Heat 2 K1 Men 500m"
"Tom Liebscher","K1",500,"Men",99.554,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"João Ribeiro","K1",500,"Men",100.109,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"Etienne Hubert","K1",500,"Men",100.149,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"Chrisjan Coetzee","K1",500,"Men",102.21,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"Enrique Adan","K1",500,"Men",104.105,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"Sebastián Delgado","K1",500,"Men",105.085,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","51 Heat 3 K1 Men 500m"
"Mirnazim Javadov","K1",500,"Men",102.922,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Roman Anoshkin","K1",500,"Men",102.972,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Miroslav Kirchev","K1",500,"Men",104.117,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Mikita Borykau","K1",500,"Men",105.072,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Giulio Dressino","K1",500,"Men",105.133,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Henrik Strand","K1",500,"Men",106.758,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Stanton Collins","K1",500,"Men",107.623,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","52 Heat 4 K1 Men 500m"
"Alena Nazdrova","C1",500,"Women",129.647,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Chloe Bracewell","C1",500,"Women",140.847,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Julija Gutova","C1",500,"Women",142.262,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Lucia Valova","C1",500,"Women",146.158,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Ming Law","C1",500,"Women",147.393,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Ana Ochoa","C1",500,"Women",147.593,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","53 Heat 1 C1 Women 500m"
"Katie Vincent","C1",500,"Women",126.507,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Kseniia Kurach","C1",500,"Women",126.967,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Zsanett Lakatos","C1",500,"Women",132.937,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Liudmyla Luzan","C1",500,"Women",134.632,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Mariami Kerdikashvili","C1",500,"Women",135.437,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Anggie Avegno","C1",500,"Women",145.703,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","54 Heat 2 C1 Women 500m"
"Shixiao Xu","C1",500,"Women",129.792,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Magda Stanny","C1",500,"Women",135.367,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Annika Loske","C1",500,"Women",138.052,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Sayako Shimazu","C1",500,"Women",142.633,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Ann Armstrong","C1",500,"Women",145.653,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Patricia Coco","C1",500,"Women",146.958,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","55 Heat 3 C1 Women 500m"
"Martin Fuksa","C1",500,"Men",109.025,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Oleg Tarnovschi","C1",500,"Men",109.29,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Mikhail Pavlov","C1",500,"Men",110.235,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Stefan Strat","C1",500,"Men",113.24,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Ryo Naganuma","C1",500,"Men",113.585,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Angel Kodinov","C1",500,"Men",116.925,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Joosep Karlson","C1",500,"Men",119.005,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","56 Heat 1 C1 Men 500m"
"Isaquias Dos Santos","C1",500,"Men",110.589,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Tamás Kiss","C1",500,"Men",112.684,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Sebastian Brendel","C1",500,"Men",112.984,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Pavlo Altukhov","C1",500,"Men",114.435,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Carlo Tacchini","C1",500,"Men",114.595,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Ian Ross","C1",500,"Men",122.48,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","57 Heat 2 C1 Men 500m"
"Thomas Simart","C1",500,"Men",109.564,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Maksim Piatrou","C1",500,"Men",110.389,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Tomasz Kaczor","C1",500,"Men",111.079,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Craig Spence","C1",500,"Men",111.929,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"David Fernández","C1",500,"Men",112.574,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Matej Rusnák","C1",500,"Men",113.185,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Helder Silva","C1",500,"Men",117.385,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","58 Heat 3 C1 Men 500m"
"Caitlin Ryan; Lisa Carrington","K2",500,"Women",99.262,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Anna Kárász; Danuta Kozák","K2",500,"Women",100.347,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Joana Vasconcelos; Teresa Portela","K2",500,"Women",101.737,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Justyna Iskrzycka; Paulina Paszek","K2",500,"Women",102.017,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Ana Lehaci; Viktoria Schwarz","K2",500,"Women",103.087,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Hermien Peters; Lize Broekx","K2",500,"Women",104.377,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Laia Pelachs; Natalia Garcia","K2",500,"Women",104.972,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Elena Meroniac; Roxana Ciur","K2",500,"Women",106.802,"Heat","8",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","59 Heat 1 K2 Women 500m"
"Jasmin Fritz; Steffi Kriegerstein","K2",500,"Women",101.448,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Liudmyla Kuklinovska; Mariya Povkh","K2",500,"Women",101.758,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Manon Hostens; Sarah Guyot","K2",500,"Women",102.018,"Heat","3",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Kristina Bedec; Milica Starovic","K2",500,"Women",103.208,"Heat","4",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Kira Stepanova; Svetlana Chernigovskaya","K2",500,"Women",103.213,"Heat","5",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Courtney Stott; Lisa Bissonnette","K2",500,"Women",103.978,"Heat","6",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Melina Andersson; Moa Wikberg","K2",500,"Women",106.128,"Heat","7",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","60 Heat 2 K2 Women 500m"
"Roi Rodriguez","K1",1000,"Men",210.809,"Heat","1",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","61 Heat 1 K1 Men 1000m"
"Max Rendschmidt","K1",1000,"Men",211.959,"Heat","2",NA,"Worlds 2018",8,23,2018,"yes","","Worlds 2018","61 Heat 1 K1 Men 1000m"
