"name","age","club","boat","gender","country","type"
"Ádám Lantos",NA,NA,"C","M","HUN",NA
"Adriana Paniagua",NA,NA,"C","F","ESP",NA
"Afef Ismail",NA,NA,"K","F","TUN",NA
"Agustín Vernice",NA,NA,"K","M","ARG",NA
"Aimee Fisher",NA,NA,"K","F","NZL",NA
"Alejandro Ibañez",NA,NA,"C","M","MEX",NA
"Aleksandar Aleksic",NA,NA,"K","M","SRB",NA
"Aleksandr Nikolaev",NA,NA,"K","M","RUS",NA
"Aleksandra Grishina",NA,NA,"K","F","BLR",NA
"Alex Martínez",NA,NA,"K","M","CUB",NA
"Alexander Graham",NA,NA,"K","M","AUS",NA
"Alexey Mochalov",NA,NA,"K","M","UZB",NA
"Alexey Vostrikov",NA,NA,"K","M","RUS",NA
"Alfonso Benavides",NA,NA,"C","M","ESP",NA
"Aliaksei Misiuchenka",NA,NA,"K","M","BLR",NA
"Alicia Lopez",NA,NA,"K","F","MEX",NA
"Alyce Burnett",NA,NA,"K","F","AUS",NA
"Ana Gonzalez",NA,NA,"K","F","MEX",NA
"Anastasia Nevskaya",NA,NA,"K","F","RUS",NA
"Anastasiia Snopkova",NA,NA,"K","F","KGZ",NA
"Anastasiya Horlova",NA,NA,"K","F","UKR",NA
"Andrey Kraitor",NA,NA,"C","M","RUS",NA
"Anggie Avegno",NA,NA,"C","F","ECU",NA
"Anja Osterman",NA,NA,"K","F","SLO",NA
"Anna Kulikova",NA,NA,"C","F","KAZ",NA
"Anna Mashevskaya",NA,NA,"C","F","KAZ",NA
"Anne Knorr",NA,NA,"K","F","GER",NA
"Anton Regorius",NA,NA,"C","M","GER",NA
"Arménio José",NA,NA,"C","M","POR",NA
"Artsem Kozyr",NA,NA,"C","M","BLR",NA
"Artuur Peters",NA,NA,"K","M","BEL",NA
"Balázs Birkás",NA,NA,"K","M","HUN",NA
"Bence Dombvári",NA,NA,"K","M","HUN",NA
"Betty Joseph",NA,NA,"C","F","IND",NA
"Binzaru Dragos",NA,NA,"C","M","MDA",NA
"Boyan Mihaylov",NA,NA,"C","M","BUL",NA
"Bram Sikkens",NA,NA,"K","M","BEL",NA
"Caitlin Ryan",NA,NA,"K","F","NZL",NA
"Camila Mendez",NA,NA,"K","F","CHI",NA
"Carlos Garrote",NA,NA,"K","M","ESP",NA
"Cheung Chung",NA,NA,"K","M","HKG",NA
"Chinghchingh Arambam",NA,NA,"K","M","IND",NA
"Chrisjan Coetzee",NA,NA,"K","M","RSA",NA
"Christina Pavlou",NA,NA,"K","F","CYP",NA
"Christoph Kornfeind",NA,NA,"K","M","AUT",NA
"Christopher Calvert",NA,NA,"C","M","GBR",NA
"Craig Spence",NA,NA,"C","M","CAN",NA
"Cristian Baies",NA,NA,"K","M","POR",NA
"Cristian Daescu",NA,NA,"C","M","ROU",NA
"Dagnis Iljins",NA,NA,"C","M","LAT",NA
"Daiki Shirakawa",NA,NA,"K","M","JPN",NA
"Dan Drahokoupil",NA,NA,"C","M","CZE",NA
"Daniel Fernandez",NA,NA,"C","M","CHI",NA
"Daniela Sanchez",NA,NA,"K","F","CUB",NA
"Daniela Varona",NA,NA,"K","F","ROU",NA
"Danielle Currie",NA,NA,"K","F","NZL",NA
"Darryl Fitzgerald",NA,NA,"K","M","NZL",NA
"Daryna Kastsiuchenka",NA,NA,"C","F","BLR",NA
"Dávid Korisánszky",NA,NA,"C","M","HUN",NA
"Davide Cestra",NA,NA,"C","M","ITA",NA
"Debora Niche",NA,NA,"K","F","GER",NA
"Devi Mayanglangbam",NA,NA,"C","F","IND",NA
"Diego Romero",NA,NA,"C","M","ESP",NA
"Dilnoza Rakhmatova",NA,NA,"C","F","UZB",NA
"Diogo Lopes",NA,NA,"K","M","POR",NA
"Donggun Son",NA,NA,"K","M","KOR",NA
"Dóra Lucz",NA,NA,"K","F","HUN",NA
"Dugan Afonso",NA,NA,"K","M","RSA",NA
"Dzmitry Zubkou",NA,NA,"C","M","BLR",NA
"Dzsenifer Tóth",NA,NA,"K","F","HUN",NA
"Edileia Reis",NA,NA,"K","F","BRA",NA
"Eleonora Kovalchuk",NA,NA,"C","F","RUS",NA
"Elerjon Mamadaliev",NA,NA,"C","M","UZB",NA
"Elias Gonzalez",NA,NA,"C","M","MEX",NA
"Emilia Cywinska",NA,NA,"K","F","POL",NA
"Emilio Alfonso",NA,NA,"C","M","CUB",NA
"Emma Jørgensen",NA,NA,"K","F","DEN",NA
"Esti Van Tonder",NA,NA,"K","F","RSA",NA
"Ezequiel Di Giacomo",NA,NA,"K","M","ARG",NA
"Facundo Pagiola",NA,NA,"C","M","ARG",NA
"Felix Nieto",NA,NA,"C","M","MEX",NA
"Filip Valo",NA,NA,"K","M","SVK",NA
"Franck Le Moel",NA,NA,"K","M","FRA",NA
"Gijung Seo",NA,NA,"C","M","KOR",NA
"Gilmar Santos",NA,NA,"K","M","BRA",NA
"Gu Junhao",NA,NA,"K","M","CHN",NA
"Hanbyeol Lee",NA,NA,"K","F","KOR",NA
"Hannah Macintosh",NA,NA,"C","F","CAN",NA
"Henrikas Zustautas",NA,NA,"C","M","LTU",NA
"Hideka Tatara",NA,NA,"K","F","JPN",NA
"Hiroki Murakami",NA,NA,"K","M","JPN",NA
"Hiromana Flores",NA,NA,"K","M","TAH",NA
"Hiromasa Tabuchi",NA,NA,"C","M","JPN",NA
"Honui Parau",NA,NA,"K","M","TAH",NA
"Hsin-Shuang Chen",NA,NA,"K","F","TPE",NA
"Hugo Pedrero",NA,NA,"C","M","ESP",NA
"Iaroslav Voloshkov",NA,NA,"K","M","RUS",NA
"Ilya Pervukhin",NA,NA,"C","M","RUS",NA
"Inna Nikitina",NA,NA,"K","F","RUS",NA
"Irina Andreeva",NA,NA,"C","F","RUS",NA
"Iryna Sakalouskaya",NA,NA,"K","F","BLR",NA
"Iuliana Croitoru",NA,NA,"K","F","ROU",NA
"Iuliana Paleu",NA,NA,"K","F","ROU",NA
"Iwajomo Temidayo",NA,NA,"K","F","NGR",NA
"Jan Vandrey",NA,NA,"C","M","GER",NA
"Jarret Kenke",NA,NA,"K","M","CAN",NA
"Jason Mccoombs",NA,NA,"C","M","CAN",NA
"Jessica Warrior",NA,NA,"K","F","GBR",NA
"Jisung Choi",NA,NA,"C","M","KOR",NA
"Jitzel Quiñones",NA,NA,"C","F","MEX",NA
"Jo Solhaug",NA,NA,"K","M","NOR",NA
"Joana Vasconcelos",NA,NA,"K","F","POR",NA
"Jochen Kaiser",NA,NA,"K","M","GER",NA
"Jonatán Hajdú",NA,NA,"C","M","HUN",NA
"Joosep Karlson",NA,NA,"C","M","EST",NA
"Jordan Silva",NA,NA,"K","M","MEX",NA
"Jose Cortes",NA,NA,"C","M","MEX",NA
"Josef Dostal",NA,NA,"K","M","CZE",NA
"Juan Lopez",NA,NA,"K","M","PUR",NA
"Juan Montoya",NA,NA,"K","M","VEN",NA
"Juhyeon Park",NA,NA,"K","M","KOR",NA
"Julie Cailleretz",NA,NA,"C","F","FRA",NA
"Karim Emad",NA,NA,"K","M","EGY",NA
"Karla Laurel",NA,NA,"C","F","MEX",NA
"Katerina Slivanska",NA,NA,"K","F","CZE",NA
"Katherine Trotter",NA,NA,"K","F","GBR",NA
"Kayla Imrie",NA,NA,"K","F","NZL",NA
"Kerry Shuter",NA,NA,"K","F","RSA",NA
"Kevin Figueroa",NA,NA,"K","M","PUR",NA
"Kimberley Schenk",NA,NA,"K","F","GER",NA
"Kirill Bondar",NA,NA,"K","M","KGZ",NA
"Krishna Mishra",NA,NA,"K","M","IND",NA
"Kristian Dushev",NA,NA,"K","M","BUL",NA
"Kristóf Khaut",NA,NA,"C","M","HUN",NA
"Kumar Sha",NA,NA,"C","M","IND",NA
"Kurtis Imrie",NA,NA,"K","M","NZL",NA
"Lambert Fick",NA,NA,"K","M","RSA",NA
"Laurence Vincent-Lapointe",NA,NA,"C","F","CAN",NA
"Lautaro González",NA,NA,"K","M","ARG",NA
"Linnea Stensils",NA,NA,"K","F","SWE",NA
"Liudmyla Luzan",NA,NA,"C","F","UKR",NA
"Lukas Hajek",NA,NA,"C","M","CZE",NA
"Madeline Schmidt",NA,NA,"K","F","CAN",NA
"Maico Santos",NA,NA,"C","M","BRA",NA
"Makoto Sakata",NA,NA,"K","M","JPN",NA
"Maksim Piatrou",NA,NA,"C","M","BLR",NA
"Manfredi Rizza",NA,NA,"K","M","ITA",NA
"Marc Keller",NA,NA,"C","M","GER",NA
"Marcel Holdak",NA,NA,"C","M","POL",NA
"Márcia Aldeias",NA,NA,"K","F","POR",NA
"Marcus Walz",NA,NA,"K","M","ESP",NA
"Maricela Rodriguez",NA,NA,"K","F","MEX",NA
"Mariecarmen Rivera",NA,NA,"K","F","PUR",NA
"Marius Radow",NA,NA,"K","M","GER",NA
"Mark James",NA,NA,"C","M","CAN",NA
"Marko Csokasi",NA,NA,"C","M","GBR",NA
"Marko Dragosavljevic",NA,NA,"K","M","SRB",NA
"Marlen Seityagyayev",NA,NA,"K","M","UZB",NA
"Marshall Hughes",NA,NA,"K","M","CAN",NA
"Marte Solhaug",NA,NA,"K","F","NOR",NA
"Martin Brzezinski",NA,NA,"K","M","POL",NA
"Martin Nathell",NA,NA,"K","M","SWE",NA
"Martin Van Den Bergh",NA,NA,"K","M","RSA",NA
"Martyna Lisiecka",NA,NA,"K","F","POL",NA
"Max Lemke",NA,NA,"K","M","GER",NA
"Melissa Reyes",NA,NA,"K","F","PUR",NA
"Mercédesz Koncz",NA,NA,"C","F","HUN",NA
"Mia Friend",NA,NA,"C","F","ECU",NA
"Michael Fitzsimon",NA,NA,"K","M","IRL",NA
"Michal Kudla",NA,NA,"C","M","POL",NA
"Michal Lubniewski",NA,NA,"C","M","POL",NA
"Michelle Russell",NA,NA,"K","F","CAN",NA
"Mihail Didenco",NA,NA,"K","M","MDA",NA
"Mikelis Ezmalis",NA,NA,"C","M","LAT",NA
"Mikhail Yemelyanov",NA,NA,"C","M","KAZ",NA
"Miklós Dudás",NA,NA,"K","M","HUN",NA
"Ming-Hsiang Liu",NA,NA,"K","M","TPE",NA
"Miroslav Zatko",NA,NA,"K","M","SVK",NA
"Mirziyodjon Kmojiev",NA,NA,"C","M","UZB",NA
"Moa Wikberg",NA,NA,"K","F","SWE",NA
"Mohamed Mrabet",NA,NA,"K","M","TUN",NA
"Nafees Qureshi",NA,NA,"C","M","IND",NA
"Natalia Podolskaya",NA,NA,"K","F","RUS",NA
"Nemanja Stanivukovic",NA,NA,"K","M","SRB",NA
"Nicolae Craciun",NA,NA,"C","M","ITA",NA
"Nicolás Cigorraga",NA,NA,"K","M","ARG",NA
"Nikolai Meleshnikov",NA,NA,"C","M","RUS",NA
"Nina Krankemann",NA,NA,"K","F","GER",NA
"Noemi Brüschweiler",NA,NA,"K","F","SUI",NA
"Oleg Sinyavin",NA,NA,"K","M","RUS",NA
"Olympiya Dusheva",NA,NA,"K","F","SRB",NA
"Orlando Vera",NA,NA,"C","M","VEN",NA
"Osbaldo Juarez",NA,NA,"K","M","MEX",NA
"Pavlo Altukhov",NA,NA,"C","M","UKR",NA
"Pawel Kaczmarek",NA,NA,"K","M","POL",NA
"Pelayo Roza",NA,NA,"K","M","ESP",NA
"Pierre-Luc Poulin",NA,NA,"K","M","CAN",NA
"Ran Choi",NA,NA,"K","F","KOR",NA
"Rebecca Mann",NA,NA,"K","F","AUS",NA
"Rebeka Simon",NA,NA,"K","F","GBR",NA
"Richárd Janza",NA,NA,"K","M","HUN",NA
"Rokas Puzonas",NA,NA,"K","M","LTU",NA
"Romain Beugnet",NA,NA,"C","M","FRA",NA
"Rosa Luna",NA,NA,"K","F","MEX",NA
"Rowdy Van Eerde",NA,NA,"K","F","NED",NA
"Rymma Skaryna",NA,NA,"K","F","BLR",NA
"Santos Uribe",NA,NA,"K","M","MEX",NA
"Sara Ouzande",NA,NA,"K","F","ESP",NA
"Sarah Guyot",NA,NA,"K","F","FRA",NA
"Sean Lohse",NA,NA,"K","M","AUS",NA
"Sebastián Delgado",NA,NA,"K","M","URU",NA
"Sebastián Romero",NA,NA,"K","M","URU",NA
"Seokhun Park",NA,NA,"C","M","KOR",NA
"Seongwoo Shin",NA,NA,"C","M","KOR",NA
"Sergey Bukhaltsev",NA,NA,"K","M","UZB",NA
"Sergey Yemelyanov",NA,NA,"C","M","KAZ",NA
"Sergio Vallejo",NA,NA,"C","M","ESP",NA
"Shannon Reynolds",NA,NA,"K","F","AUS",NA
"Shaun Fair",NA,NA,"K","M","CAN",NA
"Shinwoo Lee",NA,NA,"K","M","KOR",NA
"Shinyoung Jo",NA,NA,"K","F","KOR",NA
"Sicheng Ng",NA,NA,"C","F","MAC",NA
"Singh Thokchom",NA,NA,"C","M","IND",NA
"Sofia Emelyanova",NA,NA,"C","F","UZB",NA
"Stefanie Perdomo",NA,NA,"K","F","ECU",NA
"Sunny Kumar",NA,NA,"K","M","IND",NA
"Tamara Takács",NA,NA,"K","F","HUN",NA
"Tiago Tavares",NA,NA,"C","M","POR",NA
"Timofey Yemelyanov",NA,NA,"C","M","KAZ",NA
"Timur Tazbekov",NA,NA,"C","M","RUS",NA
"Tobiasz Gola",NA,NA,"K","M","POL",NA
"Todd Brewer",NA,NA,"K","M","AUS",NA
"Tom Hall",NA,NA,"C","M","CAN",NA
"Tomas Vesely",NA,NA,"K","M","CZE",NA
"Tomasz Barniak",NA,NA,"C","M","POL",NA
"Tomoya Kumai",NA,NA,"C","M","JPN",NA
"Twisha Karanam",NA,NA,"K","F","IND",NA
"Ulices Gonzalez",NA,NA,"K","M","VEN",NA
"Vadim Korobov",NA,NA,"C","M","LTU",NA
"Valber Santos",NA,NA,"C","M","BRA",NA
"Valentin Carp",NA,NA,"C","M","ROU",NA
"Valentina Ruete",NA,NA,"K","F","URU",NA
"Vera Sobetova",NA,NA,"K","F","RUS",NA
"Vicente Gonzales",NA,NA,"C","M","ECU",NA
"Vladimir Alaverdyan",NA,NA,"K","M","ARM",NA
"Vladyslav Shevchenko",NA,NA,"K","M","UKR",NA
"Volha Klimova",NA,NA,"C","F","BLR",NA
"Wang Simin",NA,NA,"K","F","CHN",NA
"Wen-Yi Chien",NA,NA,"C","M","TPE",NA
"William Bain",NA,NA,"K","M","AUS",NA
"William Peters",NA,NA,"K","M","BEL",NA
"Yekaterina Kaltenberger",NA,NA,"K","F","KAZ",NA
"Yu Qingqing",NA,NA,"K","F","CHN",NA
"Yuki Kondo",NA,NA,"C","M","JPN",NA
"Yume Nakamura",NA,NA,"K","F","JPN",NA
"Yusung Jung",NA,NA,"K","M","KOR",NA
"Zheng Jingda",NA,NA,"C","M","CHN",NA
"Zhu Tongchao",NA,NA,"C","M","CHN",NA
"Zsanett Lakatos",NA,NA,"C","F","HUN",NA
"Zsófia Czéllai-Vörös",NA,NA,"K","F","HUN",NA
