name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Anne-Sophie Lavoie-Parent,C1,200,Women,51.673,final A,5th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Anne-Sophie Lavoie-Parent,C1,200,Women,51.234,heat,3rd,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Anne-Sophie Lavoie-Parent,C1,200,Women,52.096,semis,1st,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Anne-Sophie Lavoie-Parent,C1,500,Women,143.026,final B,1st,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Anne-Sophie Lavoie-Parent,C1,500,Women,152.708,heat,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Anne-Sophie Lavoie-Parent,C1,500,Women,144.367,semis,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,56.212,final B,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,55.299,heat,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,56.085,semis,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,148.083,final B,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,153.243,heat,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,150.34,semis,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Connor Fitzpatrick,C1,1000,Men,249.956,heat,3rd,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Dustin Grattan,C1,200,Men,46.517,heat,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Dustin Grattan,C1,1000,Men,276.768,heat,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Dustin Grattan,C1,1000,Men,282.295,semis,9th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Farran Smith,K1,200,Women,45.226,heat,5th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Farran Smith,K1,200,Women,49.29,semis,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Farran Smith,K1,500,Women,127.215,final B,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Farran Smith,K1,500,Women,129.802,heat,5th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
James MacPhee,C1,200,Men,44.647,final B,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
James MacPhee,C1,200,Men,45.682,semis,5th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Lucas Turnbull; Isaac Finkelstein,C2,1000,Men,236.815,final A,7th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Lucas Turnbull; Isaac Finkelstein,C2,1000,Men,221.8,heat,1st,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Mario Stock; Jacob McFarlane,K2,200,Men,37.652,final B,9th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Mario Stock; Jacob McFarlane,K2,200,Men,36.132,heat,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Mario Stock; Jacob McFarlane,K2,200,Men,37.026,semis,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Matthew Koehler; Scott Braddon,K2,1000,Men,204.351,heat,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Matthew Koehler; Scott Braddon,K2,1000,Men,212.768,semis,8th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,38.273,final B,3rd tied,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,36.911,heat,3rd,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,39.098,semis,5th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Mira Corrao; Kaya McTigue,K2,500,Women,121.009,heat,8th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Olivier Courchesne,K1,200,Men,37.552,final A,6th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Olivier Courchesne,K1,200,Men,36.616,heat,2nd,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Olivier Courchesne,K1,200,Men,37.987,semis,1st,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
Owen Farley-Klacik,K1,1000,Men,235.292,heat,4th,Junior,Junior Worlds 2016,7,28,2016,yes,NA,NA,NA
