"name","age","club","boat","gender","country","type"
"Adrien Bart",NA,NA,"C","M","FRA",NA
"Afton Fitzhenry",NA,NA,"C","F","GBR",NA
"Ahmed Elbedwihy",NA,NA,"K","M","EGY",NA
"Aivis Tints",NA,NA,"C","M","LAT",NA
"Akihiro Inoue",NA,NA,"K","M","JPN",NA
"Akos Gacsal",NA,NA,"K","M","SVK",NA
"Albert Marti",NA,NA,"K","M","ESP",NA
"Albert Petersson",NA,NA,"K","M","SWE",NA
"Aldis Vilde",NA,NA,"K","M","LAT",NA
"Aleh Yurenia",NA,NA,"K","M","BLR",NA
"Aleksejs Rumjancevs",NA,NA,"K","M","LAT",NA
"Alex Scott",NA,NA,"K","M","CAN",NA
"Alina Svita",NA,NA,"K","F","BLR",NA
"Alyce Burnett",NA,NA,"K","F","AUS",NA
"Alyssa Bull",NA,NA,"K","F","AUS",NA
"Anais Cattelet",NA,NA,"C","F","FRA",NA
"Anastasiia Chetverikova",NA,NA,"C","F","UKR",NA
"Anastasiya Horlova",NA,NA,"K","F","UKR",NA
"Andrey Yerguchyov",NA,NA,"K","M","KAZ",NA
"Andrii Rybachok",NA,NA,"C","M","UKR",NA
"Anna Koziskova",NA,NA,"K","F","CZE",NA
"Anna Sletsjoee",NA,NA,"K","F","NOR",NA
"Annika Loske",NA,NA,"C","F","GER",NA
"Anuar Akchurin",NA,NA,"C","M","KAZ",NA
"Arcadii Goncearov",NA,NA,"C","M","MDA",NA
"Artsem Kozyr",NA,NA,"C","M","BLR",NA
"Arturas Seja",NA,NA,"K","M","LTU",NA
"Artuur Peters",NA,NA,"K","M","BEL",NA
"Badri Kavelashvili",NA,NA,"K","M","GEO",NA
"Barry Hazenoot",NA,NA,"K","M","NED",NA
"Barry Watkins",NA,NA,"K","M","IRL",NA
"Bartosz Stabno",NA,NA,"K","M","POL",NA
"Belen Ibarra",NA,NA,"C","F","ECU",NA
"Bernadette Wallace",NA,NA,"C","F","AUS",NA
"Bolette Iversen",NA,NA,"K","F","DEN",NA
"Bram Sikkens",NA,NA,"K","M","BEL",NA
"Brandon Ooi",NA,NA,"K","M","SGP",NA
"Brian Malfesi",NA,NA,"K","M","CAN",NA
"Carlos Borras Caldentey",NA,NA,"K","M","ESP",NA
"Carolina Garcia Otero",NA,NA,"K","F","ESP",NA
"Catherine Mcarthur",NA,NA,"K","F","AUS",NA
"Charles Smith",NA,NA,"K","M","GBR",NA
"Chrisjan Coetzee",NA,NA,"K","M","RSA",NA
"Conny Wassmuth",NA,NA,"K","F","GER",NA
"Conrad-Robin Scheibner",NA,NA,"C","M","GER",NA
"Cyrille Carre",NA,NA,"K","M","FRA",NA
"Dan Drahokoupil",NA,NA,"C","M","CZE",NA
"David Fekete",NA,NA,"C","M","SVK",NA
"Deborah Kerr",NA,NA,"K","F","GBR",NA
"Denys Lakmanov",NA,NA,"K","M","UKR",NA
"Dmytro Danylenko",NA,NA,"K","M","UKR",NA
"Dongyin Li",NA,NA,"K","F","CHN",NA
"Dorota Borowska",NA,NA,"C","F","POL",NA
"Edvards Ceipe",NA,NA,"K","M","LAT",NA
"Eivind Vold",NA,NA,"K","M","NOR",NA
"Elena Aniushina",NA,NA,"K","F","RUS",NA
"Emily Lewis",NA,NA,"K","F","GBR",NA
"Emma Jorgensen",NA,NA,"K","F","DEN",NA
"Erlon De Souza Silva",NA,NA,"C","M","BRA",NA
"Ervin Holpert",NA,NA,"K","M","SRB",NA
"Esti Van Tonder",NA,NA,"K","F","RSA",NA
"Etienne Hubert",NA,NA,"K","M","FRA",NA
"Eugenie Dorange",NA,NA,"C","F","FRA",NA
"Fernanda Iracheta",NA,NA,"K","F","CHI",NA
"Fernando Jorge Enriquez",NA,NA,"C","M","CUB",NA
"Fernando Pimenta",NA,NA,"K","M","POR",NA
"Filip Svab",NA,NA,"K","M","CZE",NA
"Francis Mouget",NA,NA,"K","M","FRA",NA
"Gabriela Ladicova",NA,NA,"C","F","SVK",NA
"Haitao Xu",NA,NA,"K","M","CHN",NA
"Hakeem Teland",NA,NA,"K","M","NOR",NA
"Hao Wang",NA,NA,"C","M","CHN",NA
"Henrik Strand",NA,NA,"K","M","SWE",NA
"Hermien Peters",NA,NA,"K","F","BEL",NA
"Hikaru Sato",NA,NA,"C","M","JPN",NA
"Hilal Avci",NA,NA,"K","F","TUR",NA
"Ignas Navakauskas",NA,NA,"K","M","LTU",NA
"Ilia Shtokalov",NA,NA,"C","M","RUS",NA
"Ilie Oprea",NA,NA,"C","M","MDA",NA
"Ilya Golendov",NA,NA,"K","M","KAZ",NA
"Ilya Podpolnyy",NA,NA,"K","M","ISR",NA
"Inna Hryshchun",NA,NA,"K","F","UKR",NA
"Inna Klinova",NA,NA,"K","F","KAZ",NA
"Irina Podoinikova",NA,NA,"K","F","KAZ",NA
"Isaquias Queiroz Dos Santos",NA,NA,"C","M","BRA",NA
"Ivan Lukyanov",NA,NA,"K","M","KAZ",NA
"Ivana Mladkova",NA,NA,"K","F","SVK",NA
"Jakub Brezina",NA,NA,"C","M","CZE",NA
"Jana Jezova",NA,NA,"C","F","CZE",NA
"Jean Van Der Westhuyzen",NA,NA,"K","M","AUS",NA
"Jennifer Egan",NA,NA,"K","F","IRL",NA
"Jessica Zatlkajova",NA,NA,"K","F","SVK",NA
"Jiabin Xu",NA,NA,"C","M","CHN",NA
"Jiali Yang",NA,NA,"K","F","CHN",NA
"Jiemei Chen",NA,NA,"K","F","SGP",NA
"Jo Brigden-Jones",NA,NA,"K","F","AUS",NA
"Joakim Lindberg",NA,NA,"K","M","SWE",NA
"Joana Vasconcelos",NA,NA,"K","F","POR",NA
"Joao Ribeiro",NA,NA,"K","M","POR",NA
"Johanna Handrick",NA,NA,"C","F","GER",NA
"Jon Vold",NA,NA,"K","M","NOR",NA
"Jonathan Delombaerde",NA,NA,"K","M","BEL",NA
"Jonathan Schofield",NA,NA,"K","M","GBR",NA
"Joona Mantynen",NA,NA,"K","M","FIN",NA
"Joosep Karlson",NA,NA,"C","M","EST",NA
"Jose Pelier Cordova",NA,NA,"C","M","CUB",NA
"Josef Dostal",NA,NA,"K","M","CZE",NA
"Josephine Bulmer",NA,NA,"C","F","AUS",NA
"Jost Zakrajsek",NA,NA,"K","M","SLO",NA
"Julia Lagerstam",NA,NA,"K","F","SWE",NA
"Julia Olszewska",NA,NA,"K","F","POL",NA
"Julia Walczak",NA,NA,"C","F","POL",NA
"Julia Wieczorek",NA,NA,"K","F","POL",NA
"Juraj Tarr",NA,NA,"K","M","SVK",NA
"Karen Roco",NA,NA,"C","F","CHI",NA
"Karolina Naja",NA,NA,"K","F","POL",NA
"Kaspar Sula",NA,NA,"K","M","EST",NA
"Katie Reid",NA,NA,"C","F","GBR",NA
"Katie Vincent",NA,NA,"C","F","CAN",NA
"Kayla De Beer",NA,NA,"K","F","RSA",NA
"Kayla Imrie",NA,NA,"K","F","NZL",NA
"Kenta Chikamura",NA,NA,"K","M","JPN",NA
"Kostja Stroinski",NA,NA,"K","M","GER",NA
"Koyo Niioka",NA,NA,"K","M","JPN",NA
"Kristina Bedec",NA,NA,"K","F","SRB",NA
"Kyrylo Cernomorov",NA,NA,"K","M","UKR",NA
"Lachlan Tame",NA,NA,"K","M","AUS",NA
"Lars Ullvang",NA,NA,"K","M","NOR",NA
"Lasma Liepa",NA,NA,"K","F","TUR",NA
"Laurence Vincent-Lapointe",NA,NA,"C","F","CAN",NA
"Lea Jamelot",NA,NA,"K","F","FRA",NA
"Liam Heath",NA,NA,"K","M","GBR",NA
"Linnea Stensils",NA,NA,"K","F","SWE",NA
"Lisa Bissonnette",NA,NA,"K","F","CAN",NA
"Lisa Carrington",NA,NA,"K","F","NZL",NA
"Liudmyla Luzan",NA,NA,"C","F","UKR",NA
"Lize Broekx",NA,NA,"K","F","BEL",NA
"Longkui Wang",NA,NA,"C","M","CHN",NA
"Lucia Valova",NA,NA,"C","F","SVK",NA
"Lukas Reuschenbach",NA,NA,"K","M","GER",NA
"Luqi Zhang",NA,NA,"C","F","CHN",NA
"Madara Aldina",NA,NA,"K","F","LAT",NA
"Madeline Schmidt",NA,NA,"K","F","CAN",NA
"Magda Stanny",NA,NA,"C","F","POL",NA
"Maksim Piatrou",NA,NA,"C","M","BLR",NA
"Maksym Majchrzak",NA,NA,"K","M","POL",NA
"Malgorzata Pulawska",NA,NA,"K","F","POL",NA
"Manfred Pallinger",NA,NA,"C","M","AUT",NA
"Manon Hostens",NA,NA,"K","F","FRA",NA
"Marcos Abad Sanchez",NA,NA,"K","M","ESP",NA
"Marharyta Makhneva",NA,NA,"K","F","BLR",NA
"Maria Mailliard",NA,NA,"C","F","CHI",NA
