"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Chris Norton","K1",200,"Men",49.05,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Chris Norton","K1",200,"Men",49.57,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Chris Norton","K1",1000,"Men",274.65,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Chris Norton","K1",1000,"Men",280.65,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",200,"Men",48.29,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",200,"Men",49.85,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",1000,"Men",258.17,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",1000,"Men",267.37,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",1000,"Men",268.33,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Garrett Wampler","K1",1000,"Men",274.54,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jack Capper","K1",200,"Men",42.66,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jack Capper","K1",200,"Men",42.76,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jack Capper","K1",1000,"Men",281.29,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jack Capper","K1",1000,"Men",287.3,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jonathan Barnato","K1",200,"Men",45.8,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jonathan Barnato","K1",200,"Men",46.09,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jonathan Barnato","K1",1000,"Men",265.16,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Jonathan Barnato","K1",1000,"Men",271.27,"NA","NA","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Olivia Crocker","C1",200,"Women",65.62,"final","1st","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Olivia Crocker","C1",200,"Women",66.22,"final","1st","open","Canada Day 2016",7,1,2016,"yes","racing up","NA","NA"
"Olivia Crocker","C1",500,"Women",178.78,"final","1st","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Olivia Crocker","C1",1000,"Women",356.61,"final","3rd","NA","Canada Day 2016",7,1,2016,"yes","NA","NA","NA"
"Olivia Crocker","C1",6000,"Women",2246.87,"final","2nd","open","Canada Day 2016",7,1,2016,"yes","racing up","NA","NA"
"Ann Armstrong","C1",200,"Women",53.45,"final","5th","NA","Canada Day 2017",7,1,2017,"yes","NA","NA","NA"
"Ann Armstrong","C1",500,"Women",142.07,"final","5th","NA","Canada Day 2017",7,1,2017,"yes","NA","NA","NA"
"Ann Armstrong","C1",5000,"Women",1748.08,"final","6th","NA","Canada Day 2017",7,1,2017,"yes","NA","NA","NA"
