name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Azusa Murphy; Lydia Keefe-Sampson,C2,200,Women,50.7,final,6th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,500,Women,160.148,final A,9th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,500,Women,147.216,heat,6th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,500,Women,157.56,semis,1st,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Alex Lee,K2,1000,Men,204.364,final A,6th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Alex Lee,K2,1000,Men,217.492,heat,2nd,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Alex Lee,K2,1000,Men,213.368,semis,3rd,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,35.596,final B,7th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,35.932,heat,3rd,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,37.564,semis,6th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Aaron Brunner,C1,1000,Men,281.816,heat,6th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Aaron Brunner,C1,1000,Men,305.732,semis,9th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Matthew Lam,C1,200,Men,45.656,heat,4th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Matthew Lam,C1,200,Men,47.476,semis,9th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Ben Hefner,C1,200,Men,46.308,heat,7th,U23,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Reidar Jacobson; Kenny Kasperbauer,C2,1000,Men,254.004,heat,9th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
Ian Ross; Gavin Ross,C2,1000,Men,259.944,heat,6th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Ian Ross; Gavin Ross,C2,1000,Men,245.228,semis,9th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Tom Murn; Jesse Lishchuk,K2,1000,Men,215.492,heat,7th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Tom Murn; Jesse Lishchuk,K2,1000,Men,230.516,semis,9th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Shawn Kahookele; Aaron Mullican,K2,200,Men,36.596,heat,5th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Shawn Kahookele; Aaron Mullican,K2,200,Men,36.892,semis,9th,U23,U23 Worlds 2015,7,23,2015,yes,NA,NA,NA
Liam Namba; Benjamin Karlinsey; Owen Farley-Klacik; Balazs Szalay,K4,1000,Men,200.196,heat,9th,Junior,Junior Worlds 2015,7,23,2015,yes,NA,NA,NA
