"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Craig Spence","C1",1000,"Men",239.942,"Final","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Roland Varga","C1",1000,"Men",243.008,"Final","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Drew Hodges","C1",1000,"Men",244.06,"Final","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Lucas Turnbull","C1",1000,"Men",249.138,"Final","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Bret Himmelman","C1",1000,"Men",256.193,"Final","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Douglas Ellery","C1",1000,"Men",257.149,"Final","6","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Thomas Hall","C1",1000,"Men",259.491,"Final","7","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Robin Kendall","C1",1000,"Men",260.925,"Final","8","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 1"
"Mark Oldershaw","C1",1000,"Men",242.221,"Final","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Mark James","C1",1000,"Men",242.645,"Final","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Connor Fitzpatrick","C1",1000,"Men",244.121,"Final","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Stephen Frodsham","C1",1000,"Men",253.228,"Final","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Evan Bezemer","C1",1000,"Men",255.602,"Final","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Kieran Moorfield-Yee","C1",1000,"Men",256.78,"Final","6","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Tyler Laidlaw","C1",1000,"Men",261.189,"Final","7","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Marc Tarling","C1",1000,"Men",262.483,"Final","8","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men C-1 1000M Heat 2"
"Laurence Vincent-Lapointe","C1",200,"Women",45.692,"Final","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 1"
"Hannah Macintosh","C1",200,"Women",49.683,"Final","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 1"
"Anne-Sophie Lavoie-Parent","C1",200,"Women",50.633,"Final","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 1"
"Sophia Jensen","C1",200,"Women",50.931,"Final","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 1"
"Rowan Hardy-Kavanagh","C1",200,"Women",51.685,"Final","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 1"
"Katie Vincent","C1",200,"Women",47.155,"Final","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Anna Roy-Cyr","C1",200,"Women",49.255,"Final","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Nadya Crossman-Serb","C1",200,"Women",50.645,"Final","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Jillian Perrone","C1",200,"Women",51.287,"Final","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Emmanuelle Guilbert","C1",200,"Women",51.455,"Final","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Ann Armstrong","C1",200,"Women",53.547,"Final","6","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Maddy Mitchell","C1",200,"Women",56.869,"Final","7","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Femmes SENIOR Women C-1 200M Heat 2"
"Marshall Hughes","K1",500,"Men",103.245,"Heat","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Andrew Jessop","K1",500,"Men",103.567,"Heat","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Vincent Jourdenais","K1",500,"Men",104.037,"Heat","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Charles-Antoine Girouard","K1",500,"Men",106.017,"Heat","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Dominik Crête","K1",500,"Men",106.343,"Heat","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Luke Stienburg","K1",500,"Men",107.053,"Heat","6","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Liam O'Brien","K1",500,"Men",108.701,"Heat","7","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Guillaume Fournelle","K1",500,"Men",109.861,"Heat","8","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Christophe Proulx","K1",500,"Men",115.497,"Heat","9","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 1"
"Pierre-Luc Poulin","K1",500,"Men",103.548,"Heat","1","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"Ryan Cochrane","K1",500,"Men",104.32,"Heat","2","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"Mark De Jonge","K1",500,"Men",104.53,"Heat","3","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"James Lavallee","K1",500,"Men",105.198,"Heat","4","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"Victor Desaulniers","K1",500,"Men",106.05,"Heat","5","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"Alex Brent","K1",500,"Men",106.502,"Heat","6","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
"Oskar Morawski","K1",500,"Men",108.51,"Heat","7","Senior","Canadian Trials 1 2018",4,22,2018,"yes","","Candian Trials 1","Hommes SENIOR Men K-1 500M Heat 2"
