"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aaron Small","K1",200,"Men",43.71,"final","1st","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small","K1",200,"Men",45.25,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small; Jake Zikan","K2",200,"Men",42.23,"final","3rd","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small; Jake Zikan","K2",200,"Men",43.04,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small; Jake Zikan","K2",500,"Men",124.16,"final","1st","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small; Jake Zikan","K2",500,"Men",118.37,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Aaron Small; Jake Zikan; Liam Jennings; Eric McCluskey","K4",500,"Men",115.67,"final","1st","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Camille Neutz","K1",200,"Women",64.86,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Camille Neutz; Nevin Harrison","C2",200,"Women",67.1,"final","3rd","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Camille Neutz; Nevin Harrison","K2",200,"Women",71.9,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Camille Neutz; Nevin Harrison","C2",500,"Women",191.86,"final","2nd","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Eli Holmes","K1",200,"Women",64.84,"NA","NA","masters","Pacific Cup 2016",9,12,2016,"yes","NA","NA","NA"
"Eli Holmes","K1",200,"Women",65.65,"NA","NA","masters","Pacific Cup 2016",9,12,2016,"yes","NA","NA","NA"
"Eli Holmes","K1",500,"Women",165.15,"NA","NA","masters","Pacific Cup 2016",9,12,2016,"yes","NA","NA","NA"
"Eli Holmes","K1",500,"Women",173.56,"NA","NA","masters","Pacific Cup 2016",9,12,2016,"yes","NA","NA","NA"
"Ella Bloomquist","K1",200,"Women",78.29,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Ella Bloomquist; Camille Neutz","K2",200,"Women",67.49,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Ella Bloomquist; Camille Neutz","K2",500,"Women",227.31,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Ella Bloomquist; Other","K2",200,"Women",68.67,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Ella Bloomquist; Other","K2",500,"Women",189.53,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Eric McCluskey","K1",200,"Men",56.67,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Jake Zikan","K1",200,"Men",46.42,"final","5th","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Jake Zikan","K1",200,"Men",47.34,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Leana Girton","K1",200,"Men",70.22,"heat","5th","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Liam Jennings","K1",200,"Men",50.68,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Liam Jennings; Eric McCluskey","K2",200,"Men",46.01,"final","6th","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Liam Jennings; Eric McCluskey","K2",200,"Men",47.15,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Liam Jennings; Eric McCluskey","K2",500,"Men",140.83,"final","6th","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Liam Jennings; Eric McCluskey","K2",500,"Men",133.45,"heat","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Nevin Harrison","C1",200,"Women",58.71,"final","1st","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Owen Jennings","K1",200,"Men",83.19,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Owen Jennings; Other","K2",200,"Men",75.13,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Owen White","K1",200,"Men",67.48,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
"Owen White","K1",200,"Men",69.06,"NA","NA","NA","Pacific Cup 2016",9,10,2016,"yes","NA","NA","NA"
