name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Azusa Murphy,C1,200,Women,51.292,final,3rd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,53.062,heat,2nd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,151.744,final,4th,NA,OHR 2014,9,1,2014,yes,direct final,NA,NA
Azusa Murphy,C1,1000,Women,293.624,final,4th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,250.787,heat,6th,U16,OHR 2014,9,1,2014,yes,racing up,NA,NA
Miles Cross-Whiter,K1,1000,Men,225.834,semis,8th,U16,OHR 2014,9,1,2014,yes,racing up,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,38.413,final A,6th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,34.19,heat,2nd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,35.004,semis,2nd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,500,Men,100.226,final A,9th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,500,Men,94.762,heat,3rd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,500,Men,94.369,semis,3rd,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Noa Hopper,K1,200,Men,41.038,heat,7th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Noa Hopper,K1,500,Men,108.914,heat,4th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Noa Hopper,K1,500,Men,114.327,semis,9th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Noa Hopper,K1,1000,Men,249.825,heat,6th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
Noa Hopper,K1,1000,Men,229.257,semis,5th,NA,OHR 2014,9,1,2014,yes,NA,NA,NA
