"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Tomas Vesely","K1",1000,"Men",227.14,"Heat","1","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Oleg Sinyavin","K1",1000,"Men",228.289,"Heat","2","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Artuur Peters","K1",1000,"Men",232.934,"Heat","3","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Cristian Baies","K1",1000,"Men",238.02,"Heat","4","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Sebastián Delgado","K1",1000,"Men",242.605,"Heat","5","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Jesse Lishchuk","K1",1000,"Men",242.669,"Heat","6","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Mihail Didenco","K1",1000,"Men",250.679,"Heat","7","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Gilmar Santos","K1",1000,"Men",255.914,"Heat","8","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","3 Heat 1 K1 Jun Men 1000m"
"Marius Radow","K1",1000,"Men",226.881,"Heat","1","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Marshall Hughes","K1",1000,"Men",228.104,"Heat","2","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Christoph Kornfeind","K1",1000,"Men",229.749,"Heat","3","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Jordan Silva","K1",1000,"Men",230.001,"Heat","4","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Tobiasz Gola","K1",1000,"Men",230.422,"Heat","5","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Marlen Seityagyayev","K1",1000,"Men",232.104,"Heat","6","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Juhyeon Park","K1",1000,"Men",238.419,"Heat","7","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Vladyslav Shevchenko","K1",1000,"Men",240.912,"Heat","8","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","4 Heat 2 K1 Jun Men 1000m"
"Kurtis Imrie","K1",1000,"Men",229.392,"Heat","1","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Pelayo Roza","K1",1000,"Men",231.275,"Heat","2","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Richárd Janza","K1",1000,"Men",237.941,"Heat","3","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Kevin Figueroa","K1",1000,"Men",239.92,"Heat","4","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Ulices Gonzalez","K1",1000,"Men",241.399,"Heat","5","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Kirill Bondar","K1",1000,"Men",243.202,"Heat","6","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Vladimir Alaverdyan","K1",1000,"Men",243.859,"Heat","7","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Cheung Chung","K1",1000,"Men",257.38,"Heat","8","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","5 Heat 3 K1 Jun Men 1000m"
"Agustín Vernice","K1",1000,"Men",222.393,"Heat","1","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Martin Nathell","K1",1000,"Men",227.793,"Heat","2","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Sean Lohse","K1",1000,"Men",229.596,"Heat","3","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Dugan Afonso","K1",1000,"Men",236.35,"Heat","4","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Daiki Shirakawa","K1",1000,"Men",242.168,"Heat","5","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Karim Emad","K1",1000,"Men",244.035,"Heat","6","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Ming-Hsiang Liu","K1",1000,"Men",253.437,"Heat","7","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Sunny Kumar","K1",1000,"Men",257.069,"Heat","8","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","6 Heat 4 K1 Jun Men 1000m"
"Kristóf Khaut","C1",1000,"Men",248.953,"Heat","1","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","7 Heat 1 C1 Jun Men 1000m"
"Dzmitry Zubkou","C1",1000,"Men",251.813,"Heat","2","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","7 Heat 1 C1 Jun Men 1000m"
"Binzaru Dragos","C1",1000,"Men",252.688,"Heat","3","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","7 Heat 1 C1 Jun Men 1000m"
"Marcel Holdak","C1",1000,"Men",255.79,"Heat","4","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","7 Heat 1 C1 Jun Men 1000m"
"Elias Gonzalez","C1",1000,"Men",258.683,"Heat","5","Jun","Worlds 2013",8,1,2013,"yes","","Worlds 2013","7 Heat 1 C1 Jun Men 1000m"
