name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Lydia Keefe-Sampson,C1,200,Women,52.314,final B,8th,Senior,World Cup I 2016,5,21,2016,yes,NA,NA,NA
Tim Hornsby,K1,200,Men,36.528,heat,6th,Senior,World Cup II 2016,5,28,2016,yes,NA,NA,NA
Tim Hornsby,K1,200,Men,39.139,semis,8th,Senior,World Cup II 2016,5,28,2016,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,54.074,heat,7th,Senior,World Cup II 2016,5,28,2016,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,52.14,semis,6th,Senior,World Cup II 2016,5,28,2016,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,52.188,heat,6th,Senior,World Cup I 2016,5,20,2016,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,53.357,semis,8th,Senior,World Cup I 2016,5,20,2016,yes,NA,NA,NA
Margaret Hogan,K1,1000,Women,256.392,heat,2nd,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Burdiak,K1,1000,Men,238.176,heat,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Shawn Kahookele,K1,1000,Men,238.936,heat,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross,C1,1000,Men,256.816,heat,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,200,Men,36.572,heat,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Aaron Mullican; Tim Burdiak,K2,200,Men,40.964,heat,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ariel Farrar-Wellman,K1,200,Women,49.288,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Emily Wright,K1,200,Women,47.664,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,1000,Men,225.86,heat,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Emily Wright; Ariel Farrar-Wellman,K2,200,Women,43.596,heat,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Shawn Kahookele,K1,1000,Men,248.792,semis,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross,C1,1000,Men,270.328,semis,4th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,200,Men,36.632,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ariel Farrar-Wellman,K1,200,Women,49.084,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Emily Wright,K1,200,Women,47,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,1000,Men,225.916,semis,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Emily Wright; Ariel Farrar-Wellman,K2,200,Women,44.676,semis,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Shawn Kahookele,K1,1000,Men,228.604,final B,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Emily Wright,K1,200,Women,44.868,final B,9th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,1000,Men,208.9,final B,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Margaret Hogan,K1,1000,Women,251.796,final A,4th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross; Gavin Ross,C2,200,Men,45.08,heat,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Shawn Kahookele,K1,200,Men,42.432,heat,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Hornsby,K1,200,Men,39.524,heat,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross,C1,200,Men,47.02,heat,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Benjamin Hefner,C1,200,Men,50.152,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Burdiak,K1,500,Men,117.296,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Gavin Ross,C1,500,Men,138.452,heat,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross,C1,500,Men,127.424,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ariel Farrar-Wellman,K1,500,Women,138.508,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Margaret Hogan,K1,500,Women,130.32,heat,3rd,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross; Gavin Ross,C2,1000,Men,310.588,heat,6th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins; Shawn Kahookele; Tim Burdiak,K4,1000,Men,202.98,heat,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Hornsby,K1,200,Men,38.184,semis,4th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Benjamin Hefner,C1,200,Men,47.188,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Burdiak,K1,500,Men,114,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Gavin Ross,C1,500,Men,151.664,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross,C1,500,Men,174.444,semis,9th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ariel Farrar-Wellman,K1,500,Women,131.296,semis,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Margaret Hogan,K1,500,Women,125.26,semis,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ian Ross; Gavin Ross,C2,1000,Men,240.736,semis,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins; Shawn Kahookele; Tim Burdiak,K4,1000,Men,198.74,semis,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Hornsby,K1,200,Men,36.08,final B,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Margaret Hogan,K1,500,Women,115.732,final B,3rd,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Ariel Farrar-Wellman,K1,500,Women,120.612,final B,7th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Tim Burdiak,K1,500,Men,109.628,final B,8th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins,K2,500,Men,103.64,final A,4th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Aaron Mullican; Shawn Kahookele,K2,500,Men,103.64,final A,5th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Christopher Miller; Stanton Collins; Shawn Kahookele; Tim Burdiak,K4,200,Men,36.268,final A,9th,Senior,World Cup III 2016,6,3,2016,yes,NA,NA,NA
Aaron Mullican,K1,5000,Men,1410.39,final,21st,Senior,World Cup III 2016,6,5,2016,yes,NA,NA,NA
Tim Burdiak,K1,5000,Men,1454.57,final,25th,Senior,World Cup III 2016,6,5,2016,yes,NA,NA,NA
Gavin Ross,C1,5000,Men,1616.65,final,10th,Senior,World Cup III 2016,6,5,2016,yes,NA,NA,NA
Margaret Hogan,K1,5000,Women,1412.47,final,2nd,Senior,World Cup III 2016,6,5,2016,yes,NA,NA,NA
