name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Doug Abbott; Brian Hammer; Ken Muir; Colin Van der Meer,K4,500,Men,154.18,Final,1,Bantam,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Ban 500m Final
Dave Ueland; Luke Wigren; Evan Zonnefeld; Ted Wirsching,K4,500,Men,174.9,Final,2,Bantam,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Ban 500m Final
Peter Newton; John Mooney,K2,1000,Men,213.27,Final,1,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Juraj Osusky; Ludovit Tatos,K2,1000,Men,213.57,Final,2,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Farron Fedechko; Matthew Mikes,K2,1000,Men,237.38,Final,3,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Robbie Jorgensen; Stefan Einarson,K2,1000,Men,245.65,Final,4,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Ted Braun; Quincy Castro,K2,1000,Men,247.87,Final,5,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Bill Macey; Brendan Warn,K2,1000,Men,326.71,Final,6,Senior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-2M Sr 1000m Final
Robbie Jorgensen; Stefan Einarson; Farron Fedechko; Wes Hammer,K4,1000,Men,222.39,Final,1,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Jr 1000m Final
Riley Doyle; Owen Kelly; Scott McBeath; Spenser Pothier,K4,1000,Men,244.6,Final,2,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Jr 1000m Final
Doug Abbott; Sean Franklin; Dion Maxwell; Carl McBeath,K4,1000,Men,248.83,Final,3,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Jr 1000m Final
Graham Raynor; Brendan Warn; DJ Anderson; Ted Wirsching,K4,1000,Men,264.57,Final,4,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-4M Jr 1000m Final
Laurel Herriman,K1,500,Women,128.76,Final,1,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Morgan Feori,K1,500,Women,130.05,Final,2,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Lauren Austin,K1,500,Women,132.67,Final,3,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Lizzie Resta,K1,500,Women,138.06,Final,4,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Alea Macey,K1,500,Women,146.12,Final,5,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Jennifer Gunn,K1,500,Women,147.95,Final,6,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
Alex Gyarmati,K1,500,Women,160.91,Final,7,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,K-1W Jr 500m Final
David Aldrich,C1,1000,Men,275.73,Final,1,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,C-1M Jr 1000m Final
Matthew Abbott,C1,1000,Men,304.82,Final,2,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,C-1M Jr 1000m Final
Aaron Scull,C1,1000,Men,356.8,Final,3,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,C-1M Jr 1000m Final
Nick Lippert,C1,1000,Men,376.76,Final,4,Junior,Houk 2001,6,NA,2001,yes,NA,Ted Houk Regatta,C-1M Jr 1000m Final
