name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Small; Gus Cook; Andrew Surles; Colin McMullen,K4,500,Men,101.316,heat,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,200,Men,40.386,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,200,Men,39.671,semis,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,500,Men,104.781,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,500,Men,105.911,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,1000,Men,219.401,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Jake Zikan,K2,1000,Men,218.496,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Aaron Small; Walker Peck; Andrew Surles; Jake Zikan,K4,200,Men,39.306,heat,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,200,Women,54.151,final A,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,200,Women,55.106,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,500,Women,145.921,final A,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,500,Women,147.531,heat,3rd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,1000,Women,296.076,final A,4th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andreea Ghizila,C1,1000,Women,304.916,heat,2nd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,241.946,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,241.421,semis,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andrew Surles; Walker Peck,K2,200,Men,40.721,heat,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andrew Surles; Walker Peck,K2,200,Men,39.936,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Andrew Surles; Walker Peck,K2,500,Men,107.751,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen,K1,200,Men,44.41,heat,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen,K1,500,Men,120.996,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen,K1,500,Men,119.996,semis,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen,K1,1000,Men,248.976,heat,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen,K1,1000,Men,251.356,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Colin McMullen; Gus Cook,K2,1000,Men,225.761,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,200,Women,48.106,heat,3rd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,200,Women,47.296,semis,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,500,Women,128.996,heat,2nd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,500,Women,127.116,semis,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,1000,Women,274.091,heat,4th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Elena Wolgamot,K1,1000,Women,264.461,semis,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,200,Men,41.846,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,200,Men,41.051,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,500,Men,115.531,heat,3rd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,500,Men,115.466,semis,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,1000,Men,238.181,heat,2nd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale,K1,1000,Men,232.211,semis,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale; Garrett Wampler; Kyle Field; Jonathan Barnato,K4,500,Men,96.751,heat,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Evan Truesdale; Gus Cook; Kyle Field; Jonathan Barnato,K4,200,Men,36.781,heat,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Garrett Wampler,K1,1000,Men,243.801,heat,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Garrett Wampler; Kyle Field,K2,1000,Men,232.886,heat,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Garrett Wampler; Kyle Field,K2,1000,Men,223.691,semis,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Gus Cook,K1,200,Men,43.281,heat,7th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Gus Cook,K1,200,Men,41.766,semis,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Gus Cook,K1,500,Men,116.226,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Gus Cook,K1,500,Men,113.491,semis,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Jonathan Barnato,K1,200,Men,41.566,heat,9th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Jonathan Barnato,K1,500,Men,113.891,heat,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Jonathan Barnato,K1,500,Men,111.721,semis,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Jonathan Barnato,K1,1000,Men,233.261,heat,3rd,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Jonathan Barnato,K1,1000,Men,226.631,semis,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Kyle Field,K1,200,Men,40.711,heat,5th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Kyle Field,K1,200,Men,39.161,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Kyle Field,K1,500,Men,113.156,heat,6th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
Kyle Field,K1,500,Men,114.451,semis,8th,NA,OHR 2017,9,15,2017,yes,NA,NA,NA
