name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Augustus Cook,K1,500,Men,115.541,Heat,1,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Bodine Ashby,K1,500,Men,116.381,Heat,2,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Jacob Zikan,K1,500,Men,121.801,Heat,3,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Philip Majumdar,K1,500,Men,122.325,Heat,4,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Eash Jacob,K1,500,Men,128.209,Heat,5,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Jackson Malone,K1,500,Men,135.881,Heat,6,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Amano Parker,K1,500,Men,140.923,Heat,7,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,1. Mens 500m Junior K1 - Heat 1
Aaron Small,K1,500,Men,115.188,Heat,1,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Colin McMullen,K1,500,Men,115.992,Heat,2,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Jasper Caddell,K1,500,Men,116.014,Heat,3,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Andrew Surles,K1,500,Men,118.888,Heat,4,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Vaughn Schenk,K1,500,Men,124.18,Heat,5,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Cole Jones,K1,500,Men,125.484,Heat,6,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Ruiz Alex,K1,500,Men,130.924,Heat,7,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,2. Mens 500m Junior K1 - Heat 2
Barlow Sam,K1,500,Women,128.894,Heat,1,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Urs Alina,K1,500,Women,135.122,Heat,2,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Corrao Mira,K1,500,Women,137.874,Heat,3,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Sierra Noskoff,K1,500,Women,138.532,Heat,4,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Shaye Hatchette,K1,500,Women,138.784,Heat,5,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Alessia Faverio,K1,500,Women,149.726,Heat,6,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Brown Rachelle,K1,500,Women,168.112,Heat,7,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,3. Womens 500m Senior K1 - Heat 1
Kaitlyn McElroy,K1,500,Women,126.64,Heat,1,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Wolgamot Elena,K1,500,Women,129.992,Heat,2,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Kali Wilding,K1,500,Women,130.668,Heat,3,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Jackson Renae,K1,500,Women,132.602,Heat,4,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Nipper Kitsy,K1,500,Women,147.986,Heat,5,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Heidi Henkel,K1,500,Women,159.284,Heat,6,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Noelani Rachel Min,K1,500,Women,164,Heat,7,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Jillian Elwart,K1,500,Women,NA,Heat,DNS,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,4. Womens 500m Senior K1 - Heat 2
Nevin Harrison,C1,500,Women,145.737,Final,1,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,5. Womens 500m Junior C1 - FInal
Hein Zoe,C1,500,Women,164.533,Final,2,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,5. Womens 500m Junior C1 - FInal
Becca Schuette,C1,500,Women,182.607,Final,3,Junior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,5. Womens 500m Junior C1 - FInal
Nathan Humberston,K1,1000,Men,234.187,Heat,1,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,6. Mens 1000m Senior K1 - Heat 1
Burdiak Tim,K1,1000,Men,235.549,Heat,2,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,6. Mens 1000m Senior K1 - Heat 1
Aaron Mullican,K1,1000,Men,236.263,Heat,3,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,6. Mens 1000m Senior K1 - Heat 1
Lishchuk Jesse,K1,1000,Men,237.439,Heat,4,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,6. Mens 1000m Senior K1 - Heat 1
Zachary Alva,K1,1000,Men,243.513,Heat,5,Senior,US Team Trials 2019,4,11,2019,yes,,USA Team Trials,6. Mens 1000m Senior K1 - Heat 1
