name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Pierce Haynes,K1,1000,Men,271.933,Heat,1,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Jack Carlson,K1,1000,Men,273.552,Heat,2,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Aadhithyan Nandakumar,K1,1000,Men,273.663,Heat,3,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Paulo Ferreira,K1,1000,Men,292.583,Heat,4,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Kaimana Spear,K1,1000,Men,362.711,Heat,5,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Braden Lambert,K1,1000,Men,370.213,Heat,6,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Kyle Peterson,K1,1000,Men,375.212,Heat,7,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 1
Seth Oakley,K1,1000,Men,291.133,Heat,1,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
Gannon Erickson,K1,1000,Men,317.417,Heat,2,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
Karl Sorocco,K1,1000,Men,317.749,Heat,3,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
Coleton McCoy,K1,1000,Men,334.718,Heat,4,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
Connor Kitching,K1,1000,Men,336.494,Heat,5,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
Kaiden Wilkinson,K1,1000,Men,356.33,Heat,6,Bantam,US Nationals 2019,8,7,2019,yes,,USA Sprint Nationals,Men Bantam K1 1000m (MB-K1-1000) Heat 2
